#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Kung-Fu Master (Europe);Kung-Fu Master (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Kung-Fu Master (USA);Kung-Fu Master (USA);Atari7800;;;;;;;;;;;;;;;;;;
Mario Bros. (Europe);Mario Bros. (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Mario Bros. (USA);Mario Bros. (USA);Atari7800;;;;;;;;;;;;;;;;;;
Mat Mania Challenge (Europe);Mat Mania Challenge (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Mat Mania Challenge (USA);Mat Mania Challenge (USA);Atari7800;;;;;;;;;;;;;;;;;;
Mean 18 Ultimate Golf (Europe);Mean 18 Ultimate Golf (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Mean 18 Ultimate Golf (USA);Mean 18 Ultimate Golf (USA);Atari7800;;;;;;;;;;;;;;;;;;
Meltdown (Europe);Meltdown (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Meltdown (USA);Meltdown (USA);Atari7800;;;;;;;;;;;;;;;;;;
Midnight Mutants (Europe);Midnight Mutants (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Midnight Mutants (USA);Midnight Mutants (USA);Atari7800;;;;;;;;;;;;;;;;;;
Missing in Action (USA) (Proto);Missing in Action (USA) (Proto);Atari7800;;;;;;;;;;;;;;;;;;
Motor Psycho (Europe);Motor Psycho (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Motor Psycho (USA);Motor Psycho (USA);Atari7800;;;;;;;;;;;;;;;;;;
Ms. Pac-Man (Europe);Ms. Pac-Man (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Ms. Pac-Man (USA);Ms. Pac-Man (USA);Atari7800;;;;;;;;;;;;;;;;;;
Ninja Golf (Europe);Ninja Golf (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Ninja Golf (USA);Ninja Golf (USA);Atari7800;;;;;;;;;;;;;;;;;;
One-on-One Basketball (Europe);One-on-One Basketball (Europe);Atari7800;;;;;;;;;;;;;;;;;;
One-on-One Basketball (USA);One-on-One Basketball (USA);Atari7800;;;;;;;;;;;;;;;;;;
