#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Cyber Knight (Japan);Cyber Knight (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Daichi-kun Crisis - Do Natural (Japan);Daichi-kun Crisis - Do Natural (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Daisenpuu (Japan);Daisenpuu (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Darius Alpha (Japan) (SG Enhanced);Darius Alpha (Japan) (SG Enhanced);TurboGrafx16;;;;;;;;;;;;;;;;;;
Darius Plus (Japan) (SG Enhanced);Darius Plus (Japan) (SG Enhanced);TurboGrafx16;;;;;;;;;;;;;;;;;;
Darkwing Duck (USA);Darkwing Duck (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Davis Cup Tennis (USA);Davis Cup Tennis (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Dead Moon (USA);Dead Moon (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Deep Blue (USA);Deep Blue (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Detana!! TwinBee (Japan);Detana!! TwinBee (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Devil's Crush (USA);Devil's Crush (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Die Hard (Japan);Die Hard (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Digital Champ (Japan);Digital Champ (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Don Doko Don! (Japan);Don Doko Don! (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Doraemon - Nobita no Dorabian Night (Japan);Doraemon - Nobita no Dorabian Night (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Double Dungeons (USA);Double Dungeons (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Download (Japan);Download (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Dragon Egg! (Japan);Dragon Egg! (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Dragon Saber (Japan);Dragon Saber (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Dragon Spirit (USA);Dragon Spirit (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Dragon's Curse (USA);Dragon's Curse (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Drop Off (USA);Drop Off (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Dungeon Explorer (USA);Dungeon Explorer (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Dungeons & Dragons - Order of the Griffon (USA);Dungeons & Dragons - Order of the Griffon (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Energy (Japan);Energy (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Eternal City - Toshi Tensou Keikaku (Japan);Eternal City - Toshi Tensou Keikaku (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
F-1 Dream (Japan);F-1 Dream (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
F-1 Pilot - You're King of Kings (Japan);F-1 Pilot - You're King of Kings (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
F1 Circus '91 (Japan);F1 Circus '91 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
F1 Circus '92 - The Speed of Sound (Japan);F1 Circus '92 - The Speed of Sound (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
F1 Circus (Japan);F1 Circus (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
F1 Triple Battle (Japan);F1 Triple Battle (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Falcon (USA);Falcon (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
