#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Dr. Jekyll and Mr. Hyde (USA);Dr. Jekyll and Mr. Hyde (USA);NES;;1989;Bandai;;;;;;;;drjekyll;;;;;;;
Dr. Mario (Japan, USA) (Rev 1);Dr. Mario (Jpn, USA, Rev. A);NES;drmario;1990;Nintendo;;;;;;;;drmarioju;ドクターマリオ;;;;;;
Dragon Fighter (USA);Dragon Fighter (USA);NES;;1992;Sofel;;;;;;;;drgnfght;;;;;;;
Dragon Power (USA);Dragon Power (USA);NES;dball;1988;Bandai;;;;;;;;drgnpowr;;;;;;;
Dragon Spirit - The New Legend (USA);Dragon Spirit - The New Legend (USA);NES;;1990;Bandai;;;;;;;;dspirit;;;;;;;
Dragon Warrior (USA) (Rev 1);Dragon Warrior (USA, Rev. A);NES;;1989;Nintendo;;;;;;;;dwarr;;;;;;;
Dragon Warrior II (USA);Dragon Warrior II (USA);NES;;1990;Enix;;;;;;;;dwarr2;;;;;;;
Dragon Warrior III (USA);Dragon Warrior III (USA, Rev. 0B);NES;;1992;Enix;;;;;;;;dwarr3;;;;;;;
Dragon Warrior IV (USA);Dragon Warrior IV (USA);NES;;1992;Enix;;;;;;;;dwarr4;;;;;;;
Dragon's Lair (USA);Dragon's Lair (USA);NES;dlair;1990;CSG Imagesoft;;;;;;;;dlairu;;;;;;;
Dropzone (Europe);Dropzone (Euro);NES;;1992;Mindscape;;;;;;;;dropzone;;;;;;;
Duck Hunt (World);Duck Hunt (World);NES;;1984;Nintendo;;;;;;;;duckhunt;ダックハント;;;;;;
Duck Maze (Australia) (Unl);Duck Maze (Aus);NES;;19??;HES;;;;;;;;duckmaze;;;;;;;
DuckTales (USA);DuckTales (USA);NES;ducktale;1989;Capcom;;;;;;;;ducktaleu;;;;;;;
Dudes with Attitude (USA) (Rev 1) (Unl);Dudes with Attitude (USA, v1.1);NES;;1990;American Video Entertainment;;;;;;;;dudesatt;;;;;;;
Dungeon Magic - Sword of the Elements (USA);Dungeon Magic - Sword of the Elements (USA);NES;;1990;Taito;;;;;;;;dngmagic;;;;;;;
Dusty Diamond's All-Star Softball (USA);Dusty Diamond's All-Star Softball (USA);NES;;1990;Brøderbund;;;;;;;;ddiamond;;;;;;;
Dynowarz - The Destruction of Spondylus (USA);Dynowarz - The Destruction of Spondylus (USA);NES;;1990;Bandai;;;;;;;;dynowarz;;;;;;;
Elevator Action (USA);Elevator Action (USA);NES;;1987;Taito;;;;;;;;elevator;;;;;;;
Eliminator Boat Duel (USA);Eliminator Boat Duel (USA);NES;eliminat;1991;Electro Brain;;;;;;;;eliminatu;;;;;;;
Elite (Europe) (En,Fr,De);Elite (Euro);NES;;1992;Imagineering;;;;;;;;elite;;;;;;;
Excitebike (Japan, USA);Excitebike (Jpn, USA);NES;excitbik;1984;Nintendo;;;;;;;;excitbikju;エキサイトバイク;;;;;;
Exerion (Japan) (En);Exerion (Jpn);NES;;1985;Jaleco;;;;;;;;exerion;エクセリオン;;;;;;
Exodus - Journey to the Promised Land (USA) (v5.0) (Unl);Exodus - Journey to the Promised Land (USA, v5.0);NES;;1991;Wisdom Tree;;;;;;;;exodus;;;;;;;
F-117A Stealth Fighter (USA);F-117a Stealth Fighter (USA);NES;;1992;Microprose;;;;;;;;f117asf;;;;;;;
F-15 Strike Eagle (USA);F-15 Strike Eagle (USA);NES;f15se;1992;Microprose;;;;;;;;f15seu;;;;;;;
F-15 City War (USA) (v1.1) (Unl);F15 City War (USA, v1.1);NES;;1990;American Video Entertainment;;;;;;;;f15cw;;;;;;;
Family Circuit '91 (Japan) (En);Family Circuit '91 (Jpn);NES;;1991;Namcot;;;;;;;;famcir91;ファミリーサーキット'91;;;;;;
Fantastic Adventures of Dizzy, The (USA) (Unl);The Fantastic Adventures of Dizzy (USA);NES;;1991;Camerica;;;;;;;;fntdizzy;;;;;;;
Fantasy Zone (USA) (Tengen) (Unl);Fantasy Zone (USA);NES;;1989;Tengen;;;;;;;;fantzone;;;;;;;
Faria - A World of Mystery & Danger! (USA);Faria (USA);NES;;1991;Nexoft;;;;;;;;faria;;;;;;;
Faxanadu (USA) (Rev 1);Faxanadu (USA, Rev. A);NES;faxanadu;1989;Nintendo;;;;;;;;faxanaduu;;;;;;;
Felix the Cat (USA);Felix the Cat (USA);NES;felix;1992;Hudson Soft;;;;;;;;felixu;;;;;;;
Ferrari Grand Prix Challenge (USA);Ferrari Grand Prix Challenge (USA);NES;ferrari;1992;Acclaim Entertainment;;;;;;;;ferrariu;;;;;;;
Fester's Quest (USA);Fester's Quest (USA);NES;festrqst;1989;Sunsoft;;;;;;;;festrqstu;;;;;;;
Final Fantasy (USA);Final Fantasy (USA);NES;;1990;Nintendo;;;;;;;;ffant;;;;;;;
Firehawk (USA) (Unl);Fire Hawk (USA);NES;;1992;Camerica;;;;;;;;firehawk;;;;;;;
Fire 'n Ice (USA);Fire'n Ice (USA);NES;solomon2;1993;Tecmo;;;;;;;;firenice;;;;;;;
Fisher-Price - Firehouse Rescue (USA);Fisher-Price - Firehouse Rescue (USA);NES;;1992;GameTek;;;;;;;;firehres;;;;;;;
Fisher-Price - I Can Remember (USA);Fisher-Price - I Can Remember (USA);NES;;1990;GameTek;;;;;;;;icanrem;;;;;;;
Fisher-Price - Perfect Fit (USA);Fisher-Price - Perfect Fit (USA);NES;;1990;GameTek;;;;;;;;prfctfit;;;;;;;
Fist of the North Star (USA);Fist of the North Star (USA);NES;;1989;Taxan;;;;;;;;fotns;;;;;;;
Flight of the Intruder (USA);Flight of the Intruder (USA);NES;;1991;Mindscape;;;;;;;;flintrdr;;;;;;;
Flintstones, The - The Rescue of Dino & Hoppy (USA);The Flintstones - The Rescue of Dino & Hoppy (USA);NES;flint;1991;Taito;;;;;;;;flintu;;;;;;;
Flintstones, The - The Surprise at Dinosaur Peak! (USA);The Flintstones - The Surprise at Dinosaur Peak! (USA);NES;flintsdp;1994;Taito;;;;;;;;flintsdpu;;;;;;;
Flipull - An Exciting Cube Game (Japan) (En) (Rev 1);Flipull - An Exciting Cube Game (Jpn, v1.1);NES;;1989;Taito;;;;;;;;flipull;フリップル;;;;;;
Flying Dragon - The Secret Scroll (USA);Flying Dragon - The Secret Scroll (USA);NES;;1989;Culture Brain;;;;;;;;flyindrg;;;;;;;
Flying Warriors (USA);Flying Warriors (USA);NES;;1991;Culture Brain;;;;;;;;flywarr;;;;;;;
Formula 1 Sensation (Europe);Formula 1 Sensation (Euro);NES;;1993;Palcom;;;;;;;;f1senstn;;;;;;;
Formula One - Built to Win (USA);Formula One - Built to Win (USA);NES;;1990;Seta;;;;;;;;f1btw;;;;;;;
Fox's Peter Pan & the Pirates - The Revenge of Captain Hook (USA);Fox's Peter Pan & The Pirates - The Revenge of Captain Hook (USA);NES;;1991;T*HQ;;;;;;;;peterpan;;;;;;;
Frankenstein - The Monster Returns (USA);Frankenstein - The Monster Returns (USA);NES;;1991;Bandai;;;;;;;;franknst;;;;;;;
Freedom Force (USA);Freedom Force (USA);NES;;1988;Sunsoft;;;;;;;;freefrce;;;;;;;
Friday the 13th (USA);Friday the 13th (USA);NES;;1989;LJN;;;;;;;;friday13;;;;;;;
Fun House (USA);Fun House (USA);NES;;1991;Hi Tech Expressions;;;;;;;;funhouse;;;;;;;
G.I. Joe - A Real American Hero (USA);G.I. Joe (USA);NES;;1991;Taxan;;;;;;;;gijoe;;;;;;;
G.I. Joe - The Atlantis Factor (USA);G.I. Joe - The Atlantis Factor (USA);NES;;1992;Capcom;;;;;;;;gijoeaf;;;;;;;
Galactic Crusader (USA) (Unl);Galactic Crusader (USA);NES;;1990;Bunch Games;;;;;;;;galcrus;;;;;;;
Galaga - Demons of Death (USA);Galaga - Demons of Death (USA);NES;galaga;1988;Bandai;;;;;;;;galagau;;;;;;;
Galaxy 5000 - Racing in the 51st Century (USA);Galaxy 5000 - Racing in the 51st Century (USA);NES;galaxy5k;1991;Activision;;;;;;;;galaxy5ku;;;;;;;
Gargoyle's Quest II (USA);Gargoyle's Quest II (USA);NES;gargoyl2;1992;Capcom;;;;;;;;gargoyl2u;;;;;;;
Gauntlet (USA);Gauntlet (USA);NES;;1988;Tengen;;;;;;;;gauntlet;;;;;;;
Gauntlet II (USA);Gauntlet II (USA);NES;gauntlt2;1990;Mindscape;;;;;;;;gauntlt2u;;;;;;;
Gemfire (USA);Gemfire (USA);NES;;1992;Koei;;;;;;;;gemfire;;;;;;;
Genghis Khan (USA);Genghis Khan (USA);NES;;1990;Koei;;;;;;;;genghis;;;;;;;
George Foreman's KO Boxing (USA);George Foreman's KO Boxing (USA);NES;georgeko;1992;Acclaim Entertainment;;;;;;;;georgekou;;;;;;;
Ghostbusters (USA);Ghostbusters (USA);NES;;1988;Activision;;;;;;;;ghostbst;;;;;;;
Ghostbusters II (USA);Ghostbusters II (USA);NES;ghostbs2;1990;Activision;;;;;;;;ghostbs2u;;;;;;;
Ghosts'n Goblins (USA);Ghosts'n Goblins (USA);NES;gng;1986;Capcom;;;;;;;;gngu;;;;;;;
Ghoul School (USA);Ghoul School (USA);NES;;1992;Electro Brain;;;;;;;;ghoulsch;;;;;;;
Goal! (USA);Goal! (USA);NES;goal;1989;Jaleco;;;;;;;;goalu;;;;;;;
Goal! Two (USA);Goal! Two (USA);NES;goal2;1992;Jaleco;;;;;;;;goal2u;;;;;;;
Godzilla - Monster of Monsters! (USA);Godzilla - Monster of Monsters! (USA);NES;godzilla;1989;Toho;;;;;;;;godzillau;;;;;;;
Godzilla 2 - War of the Monsters (USA);Godzilla 2 - War of the Monsters (USA);NES;;1992;Toho;;;;;;;;godzill2;;;;;;;
Golf (USA);Golf (USA);NES;golf;1985;Nintendo;;;;;;;;golfu;;;;;;;
Golf Grand Slam (USA);Golf Grand Slam (USA);NES;;1991;Atlus;;;;;;;;golfgs;;;;;;;
Mafat Conspiracy, The (USA);Golgo 13 - The Mafat Conspiracy (USA);NES;;1990;Vic Tokai;;;;;;;;g13mafat;;;;;;;
Golgo 13 - Top Secret Episode (USA);Golgo 13 - Top Secret Episode (USA);NES;;1988;Vic Tokai;;;;;;;;golgo13;;;;;;;
Goonies II, The (USA);The Goonies II (USA);NES;goonies2;1987;Konami;;;;;;;;goonies2u;;;;;;;
Gotcha! - The Sport! (USA);Gotcha! The Sport! (USA);NES;;1987;LJN;;;;;;;;gotcha;;;;;;;
Gradius (USA);Gradius (USA);NES;gradius;1986;Konami;;;;;;;;gradiusu;;;;;;;
Great Waldo Search, The (USA);The Great Waldo Search (USA);NES;;1992;T*HQ;;;;;;;;waldo;;;;;;;
Greg Norman's Golf Power (USA);Greg Norman's Golf Power (USA);NES;;1992;Virgin Interactive;;;;;;;;gnorman;;;;;;;
Gremlins 2 - The New Batch (USA);Gremlins 2 - The New Batch (USA);NES;gremlin2;1990;Sunsoft;;;;;;;;gremlin2u;;;;;;;
Guardian Legend, The (USA);The Guardian Legend (USA);NES;guardlgn;1989;Brøderbund;;;;;;;;guardlgnu;;;;;;;
Guerrilla War (USA);Guerrilla War (USA);NES;gwar;1989;SNK;;;;;;;;gwaru;;;;;;;
Gumshoe (USA, Europe);Gumshoe (Euro, USA);NES;;1986;Nintendo;;;;;;;;gumshoe;;;;;;;
Gun Nac (USA);Gun Nac (USA);NES;;1991;Nexoft;;;;;;;;gunnac;;;;;;;
Gun.Smoke (USA);Gun.Smoke (USA);NES;gunsmoke;1988;Capcom;;;;;;;;gunsmokeu;;;;;;;
Gyromite ~ Gyro (World);Gyromite (Euro, USA) ~ Gyro (Jpn);NES;;1985;Nintendo;;;;;;;;gyromite;ジャイロ;;;;;;
Gyruss (USA);Gyruss (USA);NES;;1989;Ultra Games;;;;;;;;gyruss;;;;;;;
Hammerin' Harry (Europe);Hammerin' Harry (Euro);NES;;1992;Irem;;;;;;;;hharry;;;;;;;
Harlem Globetrotters (USA);Harlem Globetrotters (USA);NES;;1991;GameTek;;;;;;;;harlemgt;;;;;;;
Hatris (USA);Hatris (USA);NES;;1992;Bullet-Proof Software;;;;;;;;hatris;;;;;;;
Heavy Barrel (USA);Heavy Barrel (USA);NES;;1990;Data East;;;;;;;;hbarrel;;;;;;;
Heavy Shreddin' (USA);Heavy Shreddin' (USA);NES;snowchal;1990;Parker Brothers;;;;;;;;hshred;;;;;;;
High Speed (USA);High Speed (USA);NES;highsped;1991;Tradewest;;;;;;;;highspedu;;;;;;;
Hogan's Alley (World);Hogan's Alley (World);NES;;1984;Nintendo;;;;;;;;hogan;ホーガンズアレイ;;;;;;
Hollywood Squares (USA);Hollywood Squares (USA);NES;;1989;GameTek;;;;;;;;hollywds;;;;;;;
Home Alone (USA) (Rev 1);Home Alone (USA, Rev. A);NES;;1991;T*HQ;;;;;;;;homea;;;;;;;
Home Alone 2 - Lost in New York (USA);Home Alone 2 - Lost in New York (USA);NES;homea2;1992;T*HQ;;;;;;;;homea2u;;;;;;;
Hook (USA);Hook (USA);NES;hook;1992;Sony Imagesoft;;;;;;;;hooku;;;;;;;
Hoops (USA);Hoops (USA);NES;hoops;1989;Jaleco;;;;;;;;hoopsu;;;;;;;
Hudson Hawk (USA);Hudson Hawk (USA);NES;hudsonh;1992;Sony Imagesoft;;;;;;;;hudsonhu;;;;;;;
Adventure Island (USA);Hudson's Adventure Island (USA);NES;advislnd;1988;Hudson Soft;;;;;;;;advislndu;;;;;;;
Hunt for Red October, The (USA) (Rev 1);The Hunt for Red October (USA, Rev. A);NES;huntred;1991;Hi Tech Expressions;;;;;;;;huntredu;;;;;;;
Hydlide (USA);Hydlide (USA);NES;;1989;FCI;;;;;;;;hydlide;;;;;;;
Ice Climber (USA, Europe, Korea);Ice Climber (Jpn);NES;iceclimb;1985;Nintendo;;;;;;;;iceclimbj;アイスクライマー;;;;;;
Ice Hockey (USA);Ice Hockey (USA);NES;icehocky;1988;Nintendo;;;;;;;;icehockyu;;;;;;;
Ikari III - The Rescue (USA);Ikari III - The Rescue (USA);NES;;1991;SNK;;;;;;;;ikari3;;;;;;;
Ikari Warriors (USA) (Rev 1);Ikari Warriors (USA, Rev. A);NES;ikari;1987;SNK;;;;;;;;ikariu;;;;;;;
Ikari Warriors II - Victory Road (USA);Ikari Warriors II - Victory Road (USA);NES;;1988;SNK;;;;;;;;ikari2;;;;;;;
Image Fight (USA);Image Fight (USA);NES;;1990;Irem;;;;;;;;imagefgt;;;;;;;
Immortal, The (USA);The Immortal (USA);NES;;1990;Electronic Arts;;;;;;;;immortal;;;;;;;
Impossible Mission II (USA) (Unl);Impossible Mission-II (USA);NES;;1989;American Video Entertainment / SEI;;;;;;;;impmiss2;;;;;;;
Incredible Crash Dummies, The (USA);The Incredible Crash Dummies (USA);NES;crashdum;1994;LJN;;;;;;;;crashdumu;;;;;;;
Indiana Jones and the Last Crusade (USA) (Taito);Indiana Jones and the Last Crusade (USA, Taito);NES;;1991;Taito;;;;;;;;indycrst;;;;;;;
Indiana Jones and the Last Crusade (USA) (UBI Soft);Indiana Jones and the Last Crusade (USA, UBI Soft);NES;indycrus;1993;Ubi Soft;;;;;;;;indycrusu;;;;;;;
Indiana Jones and the Temple of Doom (USA) (Rev 1);Indiana Jones and the Temple of Doom (USA, Rev. A);NES;;1988;Mindscape;;;;;;;;indy;;;;;;;
Infiltrator (USA);Infiltrator (USA);NES;;1990;Mindscape;;;;;;;;infiltrt;;;;;;;
International Cricket (Australia);International Cricket (Aus);NES;;1992;Laser Beam;;;;;;;;intcrick;;;;;;;
Iron Tank - The Invasion of Normandy (USA);Iron Tank - The Invasion of Normandy (USA);NES;irontank;1988;SNK;;;;;;;;irontanku;;;;;;;
IronSword - Wizards & Warriors II (USA);IronSword - Wizards & Warriors II (USA);NES;ironswrd;1989;Acclaim Entertainment;;;;;;;;ironswrdu;;;;;;;
Isolated Warrior (USA);Isolated Warrior (USA);NES;isolatwr;1991;NTVIC;;;;;;;;isolatwru;;;;;;;
Ivan 'Ironman' Stewart's Super Off Road (USA);Ivan 'Ironman' Stewart's Super Off Road (USA);NES;offroad;1990;Tradewest;;;;;;;;offroadu;;;;;;;
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (USA);Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (USA);NES;nicklaus;1990;Konami;;;;;;;;nicklausu;;;;;;;
Jackal (USA);Jackal (USA);NES;;1988;Konami;;;;;;;;jackal;;;;;;;
Jackie Chan's Action Kung Fu (USA);Jackie Chan's Action Kung-Fu (USA);NES;jchan;1990;Hudson Soft;;;;;;;;jchanu;;;;;;;
Jackpot (Australia) (Unl);Jackpot (Aus);NES;;19??;HES;;;;;;;;jackpot;;;;;;;
James Bond Jr (USA);James Bond Jr. (USA);NES;jbjr;1992;T*HQ;;;;;;;;jbjru;;;;;;;
Jaws (USA);Jaws (USA);NES;;1987;LJN;;;;;;;;jaws;;;;;;;
Jeopardy! (USA) (Rev 1);Jeopardy! (USA, Rev. A);NES;;1988;GameTek;;;;;;;;jeopardy;;;;;;;
Jeopardy! 25th Anniversary Edition (USA);Jeopardy! - 25th Anniversary Edition (USA);NES;;1990;GameTek;;;;;;;;jeopar25;;;;;;;
Jeopardy! Junior Edition (USA);Jeopardy! - Junior Edition (USA);NES;;1989;GameTek;;;;;;;;jeoparjr;;;;;;;
Jetsons, The - Cogswell's Caper (USA);The Jetsons - Cogswell's Caper! (USA);NES;jetsons;1992;Taito;;;;;;;;jetsonsu;;;;;;;
Jimmy Connors Tennis (USA);Jimmy Connors Tennis (USA);NES;connors;1993;Ubi Soft;;;;;;;;connorsu;;;;;;;
Joe & Mac (USA);Joe & Mac (USA);NES;joemac;1992;Data East;;;;;;;;joemacu;;;;;;;
John Elway's Quarterback (USA);John Elway's Quarterback (USA);NES;;1989;Tradewest;;;;;;;;jelwayqb;;;;;;;
Jordan vs Bird - One on One (USA);Jordan vs. Bird - One on One (USA);NES;;1989;Milton Bradley;;;;;;;;jordanb;;;;;;;
Joshua & the Battle of Jericho (USA) (v6.0) (Unl);Joshua & the Battle of Jericho (USA, v6.0);NES;;1992;Wisdom Tree;;;;;;;;joshua;;;;;;;
Journey to Silius (USA);Journey to Silius (USA);NES;silius;1990;Sunsoft;;;;;;;;siliusu;;;;;;;
Joust (USA);Joust (USA);NES;;1988;HAL Laboratory;;;;;;;;joust;;;;;;;
Jurassic Park (USA);Jurassic Park (USA);NES;jpark;1993;Ocean;;;;;;;;jparku;;;;;;;
Kabuki - Quantum Fighter (USA);Kabuki - Quantum Fighter (USA);NES;kabuki;1991;HAL Laboratory;;;;;;;;kabukiu;;;;;;;
Karate Champ (USA) (Rev 1);Karate Champ (USA, Rev. A);NES;;1986;Data East;;;;;;;;karatech;;;;;;;
Karate Kid, The (USA);The Karate Kid (USA);NES;;1987;LJN;;;;;;;;karatekd;;;;;;;
Karnov (USA);Karnov (USA);NES;;1988;Data East;;;;;;;;karnov;;;;;;;
KickMaster (USA);Kick Master (USA);NES;;1992;Taito;;;;;;;;kickmast;;;;;;;
Kick Off (Europe);Kick Off (Euro);NES;;1992;Imagineering;;;;;;;;kickoff;;;;;;;
Kickle Cubicle (USA);Kickle Cubicle (USA);NES;kickle;1990;Irem;;;;;;;;kickleu;;;;;;;
Kid Icarus (USA, Europe) (Rev 1);Kid Icarus (Euro, Rev. A);NES;;1987;Nintendo;;;;;;;;kidicars;;;;;;;
Kid Klown in Night Mayor World (USA);Kid Klown in Night Mayor World (USA);NES;;1993;Kemco;;;;;;;;kidklown;;;;;;;
Kid Kool and the Quest for the Seven Wonder Herbs (USA);Kid Kool and the Quest for the Seven Wonder Herbs (USA);NES;;1990;Vic Tokai;;;;;;;;kidkool;;;;;;;
Kid Niki - Radical Ninja (USA) (Rev 1);Kid Niki - Radical Ninja (USA, Rev. A);NES;;1987;Data East;;;;;;;;kidniki;;;;;;;
King Neptune's Adventure (USA) (Unl);King Neptune's Adventure (USA);NES;;1990;Color Dreams;;;;;;;;kingnept;;;;;;;
King of Kings, The - The Early Years (USA) (v5.0) (Unl);The King of Kings - The Early Years (USA, Rev. 5.0);NES;;1991;Wisdom Tree;;;;;;;;kingey;;;;;;;
King's Knight (USA);King's Knight (USA);NES;;1989;Square;;;;;;;;kingkngt;;;;;;;
King's Quest V (USA);King's Quest V (USA);NES;;1992;Konami;;;;;;;;kingqst5;;;;;;;
Kings of the Beach - Professional Beach Volleyball (USA);Kings of the Beach (USA);NES;;1990;Ultra Games;;;;;;;;kotbeach;;;;;;;
Kirby's Adventure (USA) (Rev 1);Kirby's Adventure (USA, Rev. A);NES;kirby;1993;Nintendo;;;;;;;;kirbyu;;;;;;;
Kiwi Kraze - A Bird-Brained Adventure! (USA);Kiwi Kraze (USA);NES;tnzs;1991;Taito;;;;;;;;kiwikraz;Kiwi Kraze - A Bird-Brained Adventure! (Box);;;;;;
KlashBall (USA);KlashBall (USA);NES;;1991;Sofel;;;;;;;;klashbal;;;;;;;
Klax (USA) (Unl);Klax (USA);NES;;1990;Tengen;;;;;;;;klax;;;;;;;
Knight Rider (USA);Knight Rider (USA);NES;knightr;1989;Acclaim Entertainment;;;;;;;;knightru;;;;;;;
Konami Hyper Soccer (Europe);Konami Hyper Soccer (Euro);NES;;1992;Konami;;;;;;;;hyprsocr;;;;;;;
Krazy Kreatures (USA) (Rev A) (Unl);Krazy Kreatures (USA, v1.1);NES;;1990;American Video Entertainment;;;;;;;;krazykr;;;;;;;
Krion Conquest, The (USA);The Krion Conquest (USA);NES;;1991;Vic Tokai;;;;;;;;krion;;;;;;;
Krusty's Fun House (USA);Krusty's Fun House (USA);NES;krustyfh;1992;Acclaim Entertainment;;;;;;;;krustyfhu;;;;;;;
Kung Fu (Japan, USA);Kung Fu (Jpn, USA);NES;kungfu;1985;Nintendo;;;;;;;;kungfuju;;;;;;;
Kung-Fu Heroes (USA);Kung-Fu Heroes (USA);NES;;1989;Culture Brain;;;;;;;;kungfuh;;;;;;;
Empereur, L' (USA);L'Empereur (USA);NES;;1991;Koei;;;;;;;;emperor;;;;;;;
Laser Invasion (USA);Laser Invasion (USA);NES;;1991;Konami;;;;;;;;laserinv;;;;;;;
Last Action Hero (USA);Last Action Hero (USA);NES;;1993;Sony Imagesoft;;;;;;;;lastact;;;;;;;
Last Ninja, The (USA);The Last Ninja (USA);NES;;1991;Jaleco;;;;;;;;lastninj;;;;;;;
Last Starfighter, The (USA);The Last Starfighter (USA);NES;;1990;Mindscape;;;;;;;;laststar;;;;;;;
Lee Trevino's Fighting Golf (USA);Lee Trevino's Fighting Golf (USA);NES;leetrevn;1988;SNK;;;;;;;;leetrevnu;;;;;;;
Legacy of the Wizard (USA);Legacy of the Wizard (USA);NES;;1989;Brøderbund;;;;;;;;legwizrd;;;;;;;
Legend of Kage, The (USA);The Legend of Kage (USA);NES;;1987;Taito;;;;;;;;legkage;;;;;;;
Legend of Prince Valiant, The (Europe);The Legend of Prince Valiant (Euro);NES;;1992;Ocean;;;;;;;;valiant;;;;;;;
Legend of Zelda, The (USA) (Rev 1);The Legend of Zelda (USA, Rev. A);NES;zelda;1987;Nintendo;;;;;;;;zeldau;;;;;;;
Ghost Lion (USA);Legend of the Ghost Lion (USA);NES;;1992;Kemco;;;;;;;;ghostlio;;;;;;;
Legendary Wings (USA);Legendary Wings (USA);NES;;1988;Capcom;;;;;;;;lwings;;;;;;;
Legends of the Diamond - The Baseball Championship Game (USA);Legends of the Diamond - The Baseball Championship Game (USA);NES;;1992;Bandai;;;;;;;;ldiamond;;;;;;;
Lemmings (USA);Lemmings (USA);NES;lemmings;1992;Sunsoft;;;;;;;;lemmingsu;;;;;;;
Lethal Weapon (USA);Lethal Weapon (USA);NES;lweapon;1993;Ocean;;;;;;;;lweaponu;;;;;;;
Life Force (USA);Life Force (USA);NES;salamand;1988;Konami;;;;;;;;lifefrce;;;;;;;
Linus Spacehead's Cosmic Crusade (USA) (En,Fr,De,Es) (Unl);Linus Spacehead's Cosmic Crusade (USA);NES;cosmic;1992;Camerica;;;;;;;;linuscc;;;;;;;
Little League Baseball - Championship Series (USA);Little League Baseball Championship Series (USA);NES;;1990;SNK;;;;;;;;littlelg;;;;;;;
Little Nemo - The Dream Master (USA);Little Nemo - The Dream Master (USA);NES;nemo;1990;Capcom;;;;;;;;nemou;;;;;;;
Little Ninja Brothers (USA);Little Ninja Brothers (USA);NES;lilninjb;1990;Culture Brain;;;;;;;;lilninjbu;;;;;;;
Little Red Hood (Australia) (Unl);Little Red Hood (Aus);NES;;19??;HES;;;;;;;;littlred;;;;;;;
Little Samson (USA);Little Samson (USA);NES;lilsamsn;1992;Taito;;;;;;;;lilsamsnu;;;;;;;
Lode Runner (USA);Lode Runner (USA);NES;;1987;Brøderbund;;;;;;;;ldrun;;;;;;;
Lone Ranger, The (USA);The Lone Ranger (USA);NES;;1991;Konami;;;;;;;;lonerang;;;;;;;
Loopz (USA);Loopz (USA);NES;;1990;Mindscape;;;;;;;;loopz;;;;;;;
Low G Man - The Low Gravity Man (USA);Low G Man - The Low Gravity Man (USA);NES;lowgman;1990;Taxan;;;;;;;;lowgmanu;;;;;;;
Lunar Pool (USA);Lunar Pool (USA);NES;lunarpol;1987;FCI;;;;;;;;lunarpolu;;;;;;;
M.C. Kids (USA);M.C. Kids (USA);NES;mckids;1992;Virgin Interactive;;;;;;;;mckidsu;;;;;;;
M.U.L.E. (USA);M.U.L.E. (USA);NES;;1990;Mindscape;;;;;;;;mule;;;;;;;
M.U.S.C.L.E. - Tag Team Match (USA);M.U.S.C.L.E. - Tag Team Match (USA);NES;;1986;Bandai;;;;;;;;muscle;;;;;;;
MiG 29 - Soviet Fighter (USA) (Unl);MIG-29 Soviet Fighter (USA);NES;;1992;Camerica;;;;;;;;mig29sf;;;;;;;
Remote Control (USA);MTV's Remote Control (USA);NES;;1990;Hi Tech Expressions;;;;;;;;remote;;;;;;;
Mach Rider (Japan, USA) (Rev 1);Mach Rider (Jpn, USA, Rev. A);NES;machridr;1985;Nintendo;;;;;;;;machridrju;マッハライダー;;;;;;
Mad Max (USA);Mad Max (USA);NES;;1990;Mindscape;;;;;;;;madmax;;;;;;;
Magmax (USA);MagMax (USA);NES;;1988;FCI;;;;;;;;magmax;;;;;;;
Magic Block (Asia) (En) (Mega Soft) (Unl);Magic Block (Asia);NES;;1991;NTDEC;;;;;;;;magicblk;;;;;;;
Magic Darts (USA);Magic Darts (USA);NES;;1991;Romstar;;;;;;;;magicdrt;;;;;;;
Magic Johnson's Fast Break (USA);Magic Johnson's Fast Break (USA);NES;;1990;Tradewest;;;;;;;;magicjfb;;;;;;;
Magic of Scheherazade, The (USA);The Magic of Scheherazade (USA);NES;;1989;Culture Brain;;;;;;;;magicsch;;;;;;;
Magician (USA);Magician (USA);NES;;1991;Taxan;;;;;;;;magician;;;;;;;
Major League Baseball (USA) (Rev 1);Major League Baseball (USA, Rev. A);NES;;1988;LJN;;;;;;;;mleagueb;;;;;;;
Maniac Mansion (USA);Maniac Mansion (USA);NES;mmansion;1990;Jaleco;;;;;;;;mmansionu;;;;;;;
Mappy-Land (USA);Mappy-Land (USA);NES;;1989;Taxan;;;;;;;;mappylnd;;;;;;;
Marble Madness (USA);Marble Madness (USA);NES;marble;1989;Milton Bradley;;;;;;;;marbleu;;;;;;;
Mario Bros. (World);Mario Bros. (World);NES;mario;1983;Nintendo;;;;;;;;mario1;マリオブラザーズ;;;;;;
Mario is Missing! (USA);Mario is Missing! (USA);NES;mariomis;1993;The Software Toolworks;;;;;;;;mariomisu;;;;;;;
Mario's Time Machine (USA);Mario's Time Machine (USA);NES;;1994;The Software Toolworks;;;;;;;;mariotim;;;;;;;
