#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Athena (USA);Athena (USA);NES;;1987;SNK;;;;;;;;athena;;;;;;;
Athletic World (USA);Athletic World (USA);NES;athlwrld;1987;Bandai;;;;;;;;athlwrldu;;;;;;;
Attack of the Killer Tomatoes (USA);Attack of the Killer Tomatoes (USA);NES;killtomt;1992;T*HQ;;;;;;;;killtomtu;;;;;;;
Aussie Rules Footy (Australia);Aussie Rules Footy (Euro);NES;;1992;Laser Beam;;;;;;;;aussie;;;;;;;
Baby Boomer (USA) (Unl);Baby Boomer (USA);NES;;1989;Color Dreams;;;;;;;;babyboom;;;;;;;
Back to the Future (USA);Back to the Future (USA);NES;;1989;LJN;;;;;;;;backtof;;;;;;;
Back to the Future Part II & III (USA);Back to the Future II & III (USA);NES;;1990;LJN;;;;;;;;backtf23;;;;;;;
Bad Dudes (USA);Bad Dudes (USA);NES;baddudes;1990;Data East;;;;;;;;baddudesu;;;;;;;
Bad News Baseball (USA);Bad News Baseball (USA);NES;;1990;Tecmo;;;;;;;;badnewsb;;;;;;;
Bad Street Brawler (USA);Bad Street Brawler (USA);NES;;1989;Mattel;;;;;;;;bsbrawl;;;;;;;
Balloon Fight (USA);Balloon Fight (USA);NES;balonfgt;1986;Nintendo;;;;;;;;balonfgtu;;;;;;;
Bandai Golf - Challenge Pebble Beach (USA);Bandai Golf - Challenge Pebble Beach (USA);NES;;1989;Bandai;;;;;;;;pebbleb;;;;;;;
Bandit Kings of Ancient China (USA);Bandit Kings of Ancient China (USA);NES;;1990;Koei;;;;;;;;bandking;;;;;;;
Barbie (USA) (Rev 1);Barbie (USA, Rev. A);NES;barbie;1991;Hi Tech Expressions;;;;;;;;barbieu;;;;;;;
Bard's Tale, The (USA);The Bard's Tale (USA);NES;;1991;FCI;;;;;;;;brdtale;;;;;;;
Barker Bill's Trick Shooting (USA);Barker Bill's Trick Shooting (USA);NES;barkbill;1990;Nintendo;;;;;;;;barkbillu;;;;;;;
Baseball (USA, Europe);Baseball (Euro, USA);NES;;1985;Nintendo;;;;;;;;baseball;;;;;;;
Baseball Simulator 1.000 (USA);Baseball Simulator 1.000 (USA);NES;;1990;Culture Brain;;;;;;;;basesim;;;;;;;
Baseball Stars (USA);Baseball Stars (USA);NES;;1989;SNK;;;;;;;;bstars;;;;;;;
Baseball Stars II (USA);Baseball Stars II (USA);NES;;1992;Romstar;;;;;;;;bstars2;;;;;;;
Bases Loaded (USA) (Rev 2);Bases Loaded (USA, Rev. B);NES;;1988;Jaleco;;;;;;;;basload;;;;;;;
Bases Loaded 3 (USA);Bases Loaded 3 (USA);NES;;1991;Jaleco;;;;;;;;basload3;;;;;;;
Bases Loaded 4 (USA);Bases Loaded 4 (USA);NES;;1993;Jaleco;;;;;;;;basload4;;;;;;;
Bases Loaded II - Second Season (USA);Bases Loaded II - Second Season (USA);NES;;1990;Jaleco;;;;;;;;basload2;;;;;;;
Batman - Return of the Joker (USA);Batman - Return of the Joker (USA);NES;batmanrj;1991;Sunsoft;;;;;;;;batmanrju;;;;;;;
Batman - The Video Game (USA);Batman - The Video Game (USA);NES;batman;1990;Sunsoft;;;;;;;;batmanu;;;;;;;
Batman Returns (USA);Batman Returns (USA);NES;batmanrn;1993;Konami;;;;;;;;batmanrnu;;;;;;;
Battle Chess (USA);Battle Chess (USA);NES;;1990;Data East;;;;;;;;btlchess;;;;;;;
Garry Kitchen's Battletank (USA);Battle Tank (USA);NES;;1990;Absolute;;;;;;;;batltank;Garry Kitchen's Battle Tank (on the game box);;;;;;
Battle of Olympus, The (USA);The Battle of Olympus (USA);NES;olympus;1989;Brøderbund;;;;;;;;olympusu;;;;;;;
Battleship (USA);Battleship (USA);NES;bship;1993;Mindscape;;;;;;;;bshipu;;;;;;;
Battletoads-Double Dragon (USA);Battletoads & Double Dragon - The Ultimate Team (USA);NES;btoadsdd;1993;Tradewest;;;;;;;;btoadsddu;;;;;;;
Battletoads (USA);Battletoads (USA);NES;btoads;1991;Tradewest;;;;;;;;btoadsu;;;;;;;
Beauty and the Beast (Europe);Beauty and the Beast (Euro);NES;;1994;Hudson Soft;;;;;;;;beauty;;;;;;;
Bee 52 (USA) (Unl);Bee 52 (USA);NES;;1992;Camerica;;;;;;;;bee52;;;;;;;
Beetlejuice (USA);Beetlejuice (USA);NES;;1991;LJN;;;;;;;;beetlej;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);NES;bestof;1992;Electro Brain;;;;;;;;bestofu;;;;;;;
Bible Adventures (USA) (v1.4) (Unl);Bible Adventures (USA, v1.4);NES;;1991;Wisdom Tree;;;;;;;;bibleadv;;;;;;;
Bible Buffet (USA) (v6.0) (Unl);Bible Buffet (USA, Rev. 6.0);NES;;1993;Wisdom Tree;;;;;;;;biblebuf;;;;;;;
Big Nose Freaks Out (USA) (Unl);Big Nose Freaks Out (USA);NES;;1992;Camerica;;;;;;;;bignfo;;;;;;;
Big Nose the Caveman (USA) (Unl);Big Nose the Caveman (USA);NES;;1991;Camerica;;;;;;;;bignose;;;;;;;
Bigfoot (USA);Bigfoot (USA);NES;bigfoot;1990;Acclaim Entertainment;;;;;;;;bigfootu;;;;;;;
Bill & Ted's Excellent Video Game Adventure (USA);Bill & Ted's Excellent Video Game Adventure (USA);NES;;1991;LJN;;;;;;;;billted;;;;;;;
Bill Elliott's NASCAR Challenge (USA);Bill Elliott's NASCAR Challenge (USA);NES;;1991;Konami;;;;;;;;nascarch;;;;;;;
Bionic Commando (USA);Bionic Commando (USA);NES;bionicc;1988;Capcom;;;;;;;;bioniccu;;;;;;;
Black Bass, The (USA);The Black Bass (USA);NES;;1989;Hot-B;;;;;;;;blackbas;;;;;;;
Blackjack (USA) (Unl);Blackjack (USA);NES;;1992;American Video Entertainment;;;;;;;;blckjack;;;;;;;
Blades of Steel (USA);Blades of Steel (USA);NES;bladestl;1988;Konami;;;;;;;;bladestlu;;;;;;;
