#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
16BIT Rhythm Land (World) (Unl);16BIT Rhythm Land (World) (Unl);Genesis;;;;;;;;;;;;;;;;;;
Art of Fighting (USA);Art of Fighting (USA);Genesis;aof;1994;;;2;;;;;;aofu;Art of Fighting;;;;;;
Asterix and the Great Rescue (USA);Astérix and the Great Rescue (USA);Genesis;astergre;1994;Sega;;;;;;;;astergreu;;;;;;;
Asterix and the Power of the Gods (Europe) (En,Fr,De,Es);Astérix and the Power of the Gods (Euro);Genesis;;1995;Sega;;;;;;;;asterpg;;;;;;;
Atomic Robo-Kid (USA);Atomic Robo-Kid (USA);Genesis;;1990;;;1;;;;;;atomrobo;Atomic Robo-Kid;;;;;;
Atomic Runner (USA);Atomic Runner (USA);Genesis;atomrun;1992;;;1;;;;;;atomrunu;Atomic Runner;;;;;;
Australian Rugby League (Europe);Australian Rugby League (Euro);Genesis;;1994;;;1;;;;;;austrarl;Australian Rugby League;;;;;;
Awesome Possum... ...Kicks Dr. Machino's Butt (USA);Awesome Possum (USA);Genesis;;1993;;;1;;;;;;awepossm;Awesome Possum;;;;;;
Ayrton Senna's Super Monaco GP II (USA) (En,Ja);Ayrton Senna's Super Monaco GP II (USA);Genesis;smgp2;1992;;;1;;;;;;smgp2u;Ayrton Senna's Super Monaco GP II;;;;;;
B.O.B. (USA, Europe) (Rev A);B.O.B. (Euro, USA);Genesis;;1993;;;1;;;;;;bob;B.O.B.;;;;;;
Bass Masters Classic (USA);BASS Masters Classic (USA);Genesis;;1995;;;1;;;;;;bassmc;Bass Masters Classic;;;;;;
Bass Masters Classic - Pro Edition (USA);BASS Masters Classic - Pro Edition (USA);Genesis;;1996;;;1;;;;;;bassmpro;Bass Masters Classic: Pro Edition;;;;;;
Back to the Future Part III (USA);Back to the Future Part III (USA);Genesis;backtof3;1991;;;;;;;;;backtof3u;Back to the Future Part III;;;;;;
Ball Jacks (Japan, Europe);Ball Jacks (Euro, Jpn);Genesis;;1993;;;;;;;;;balljack;ボールジャックス;;;;;;
Ballz 3D - Fighting at Its Ballziest ~ Ballz 3D - The Battle of the Ballz (USA, Europe);Ballz 3D (Euro, USA);Genesis;;1994;;;2;;;;;;ballz3d;Ballz 3D - Fighting at Its Ballziest (USA Box) / Ballz 3D - The Battle of the Balls (Euro Box);;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);Genesis;;1992;;;2;;;;;;barbiesm;Barbie Super Model;;;;;;
Barkley Shut Up and Jam! (USA, Europe);Barkley Shut Up and Jam! (Euro, USA);Genesis;;1993;;;4;;;;;;barkley;Barkley: Shut Up and Jam!;;;;;;
Barkley Shut Up and Jam 2 (USA);Barkley Shut Up and Jam! 2 (USA);Genesis;;1995;;;4;;;;;;barkley2;Barkley Shut Up and Jam! 2;;;;;;
Barney's Hide & Seek Game (USA);Barney's Hide & Seek Game (USA);Genesis;;1993;;;1;;;;;;barney;Barney's Hide & Seek Game;;;;;;
Batman - The Video Game (USA);Batman (USA);Genesis;batman;1990;;;1;;;;;;batmanu;Batman;;;;;;
Batman - Revenge of the Joker (USA);Batman - Revenge of the Joker (USA);Genesis;;1992;;;1;;;;;;batmanrj;Batman: Revenge of the Joker;;;;;;
Batman Forever (World);Batman Forever (World);Genesis;;1995;;;2;;;;;;batmanf;バットマン フォーエヴァー;;;;;;
Batman Returns (World);Batman Returns (World);Genesis;;1992;;;1;;;;;;batmanrn;バットマン・リターンズ;;;;;;
Battle Squadron (USA, Europe);Battle Squadron (Euro, USA);Genesis;;1990;;;2;;;;;;battlesq;Battle Squadron;;;;;;
BattleTech - A Game of Armored Combat (USA);BattleTech (USA);Genesis;;1994;;;4;;;;;;btech;BattleTech - A Game of Armored Combat (Box);;;;;;
Battlemaster (USA);Battlemaster (USA);Genesis;;1991;;;1;;;;;;battlems;Battlemaster;;;;;;
Battletoads-Double Dragon (USA);Battletoads & Double Dragon - The Ultimate Team (USA);Genesis;;1993;Tradewest;;;;;;;;btoadsdd;Battletoads & Double Dragon (Box);;;;;;
Battletoads (World);Battletoads (World);Genesis;;1991;;;2;;;;;;btoads;バトルトード;;;;;;
Beast Wrestler (USA);Beast Wrestler (USA);Genesis;;1991;;;1;;;;;;beastw;Beast Wrestler;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);Genesis;beavis;1994;;;1;;;;;;beavisu;Beavis and Butt-head;;;;;;
Beggar Prince (World) (Rev 1) (Unl);Beggar Prince (Euro, USA);Genesis;;2005;;;1;;;;;;beggarp;Beggar Prince;;;;;;
Berenstain Bears' Camping Adventure, The (USA);The Berenstain Bears' Camping Adventure (USA);Genesis;;1994;;;;;;;;;berens;The Berenstain Bears: Camping Adventure;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Genesis;;1993;;;2;;;;;;bestof;Best of the Best: Championship Karate;;;;;;
Beyond Oasis (USA);Beyond Oasis (USA);Genesis;thor;1995;;;1;;;;;;beyoasis;Beyond Oasis;;;;;;
Bible Adventures (USA) (Unl);Bible Adventures (USA);Genesis;;1995;;;1;;;;;;bibleadv;Bible Adventures;;;;;;
Bill Walsh College Football (USA, Europe);Bill Walsh College Football (Euro, USA);Genesis;;1993;;;4;;;;;;billwlsh;Bill Walsh College Football;;;;;;
Bill Walsh College Football 95 (USA);Bill Walsh College Football 95 (USA);Genesis;;1994;;;2;;;;;;billwl95;Bill Walsh College Football '95;;;;;;
Bimini Run (USA);Bimini Run (USA);Genesis;;1990;;;1;;;;;;bimini;Bimini Run;;;;;;
Bio Hazard Battle (USA, Europe);Bio-Hazard Battle (Euro, USA);Genesis;;1992;;;2;;;;;;biohazrb;Bio-Hazard Battle;;;;;;
Blades of Vengeance (USA, Europe);Blades of Vengeance (Euro, USA);Genesis;;1993;;;2;;;;;;bladeven;Blades of Vengeance;;;;;;
Blaster Master 2 (USA);Blaster Master 2 (USA);Genesis;;1993;;;1;;;;;;bmaster2;Blaster Master 2;;;;;;
Blockbuster World Video Game Championship II (USA);Blockbuster World Video Game Championship II (USA);Genesis;;1995;;;1;;;;;;blockb;Blockbuster World Video Game Championship II;;;;;;
Blockout (World);Blockout (Jpn);Genesis;blockout;1991;Sega;;;;;;;;blockoutj;ブロックアウト;;;;;;
Bloodshot (Europe) (En,Fr,De,Es);Bloodshot (Euro) ~ Battle Frenzy (Ger);Genesis;;1994;;;;;;;;;bloodsht;Bloodshot;;;;;;
Body Count (Europe) (En,Fr,De,Es,It);Body Count (Euro);Genesis;;1994;;;;;;;;;bodyco;Body Count;;;;;;
Bomber (Brazil) (Unl);Bomber;Genesis;;2005;TecToy;;;;;;;;bomber;Bomber;;;;;;
Bomboy (Taiwan) (En) (Unl);Bomboy (Tw);Genesis;;1993;;;1;;;;;;bomboy;Bomboy;;;;;;
Bonanza Bros. (USA, Europe, Korea) (Rev B);Bonanza Bros. (Euro, USA, Kor, Rev. B);Genesis;;1991;;;2;;;;;;bnzabros;Bonanza Bros.;;;;;;
Bonkers (USA, Europe);Bonkers (Euro, USA);Genesis;;1994;;;1;;;;;;bonkers;Disney's Bonkers (Box);;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman - A Pick and Flick Adventure (USA);Genesis;booger;1994;;;1;;;;;;boogeru;Boogerman - A Pick And Flick Adventure;;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring (USA);Genesis;;1993;;;2;;;;;;boxinglg;Boxing Legends of the Ring;;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);Genesis;dracula;1993;;;1;;;;;;draculau;Bram Stoker's Dracula;;;;;;
Brett Hull Hockey 95 (USA);Brett Hull Hockey '95 (USA);Genesis;;1994;;;2;;;;;;bretth;Brett Hull Hockey 95;;;;;;
Brian Lara Cricket (Europe);Brian Lara Cricket (Euro, 199503);Genesis;brianlar;1995;;;2;;;;;;brianlar1;Brian Lara Cricket;;;;;;
Brian Lara Cricket 96 (Europe) (Rev 1);Brian Lara Cricket 96 (Euro, 199604);Genesis;;1996;Codemasters;;1;;;;;;brianl96;Brian Lara Cricket 96;;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);Genesis;brutal;1994;;;2;;;;;;brutalu;Brutal Paws of Fury;;;;;;
Bubba 'N' Stix (USA);Bubba'n'Stix (USA);Genesis;bubba;1993;;;;;;;;;bubbau;Bubba'n'Stix - A Strategy Adventure (Box);;;;;;
Bubble and Squeak (USA);Bubble and Squeak (USA);Genesis;bubblesq;1994;;;1;;;;;;bubblesqu;Bubble and Squeak;;;;;;
Bubsy II (USA, Europe);Bubsy II (Euro, USA);Genesis;;1994;;;1;;;;;;bubsy2;Bubsy II;;;;;;
Bubsy in - Claws Encounters of the Furred Kind (USA, Europe);Bubsy in Claws Encounters of the Furred Kind (Euro, USA);Genesis;;1993;;;1;;;;;;bubsy;Bubsy in Claws Encounters of the Furred Kind;;;;;;
Buck Rogers - Countdown to Doomsday (USA, Europe);Buck Rogers - Countdown to Doomsday (Euro, USA);Genesis;;1991;;;1;;;;;;buckrog;Buck Rogers Countdown To Doomsday;;;;;;
Budokan - The Martial Spirit (USA) (Unl);Budokan - The Martial Spirit (USA);Genesis;budokan;1990;;;;;;;;;budokanu;Budokan: The Martial Spirit;;;;;;
Bugs Bunny in Double Trouble (USA);Bugs Bunny in Double Trouble (USA);Genesis;bugsbun;1996;;;1;;;;;;bugsbunu;Bugs Bunny in Double Trouble;;;;;;
Bulls vs Lakers and the NBA Playoffs (USA, Europe);Bulls Vs Lakers and the NBA Playoffs (Euro, USA);Genesis;;1992;;;2;;;;;;bullvsla;Bulls vs Lakers and the NBA Playoffs;;;;;;
Bulls versus Blazers and the NBA Playoffs (USA, Europe);Bulls versus Blazers and the NBA Playoffs (Euro, USA);Genesis;;1993;;;2;;;;;;bullvsbl;Bulls Versus Blazers and the NBA Playoffs;;;;;;
Burning Force (USA);Burning Force (USA);Genesis;burnforc;1990;;;;;;;;;burnforcu;Burning Force;;;;;;
Cadash (USA, Korea);Cadash (USA, Asia, Kor);Genesis;;1992;;;;;;;;;cadash;Cadash;;;;;;
Caesars Palace (USA);Caesars Palace (USA);Genesis;;1993;;;1;;;;;;caesars;Caesars Palace;;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball (USA);Genesis;;1992;;;2;;;;;;calripkn;Cal Ripken Jr. Baseball;;;;;;
Caliber.50 (USA);Cal.50 Caliber-Fifty (USA);Genesis;;1991;Mentrix;;;;;;;;cal50;Caliber.50 (Box);;;;;;
California Games (USA, Europe);California Games (Euro, USA);Genesis;;1991;;;2;;;;;;calgames;California Games;;;;;;
Cannon Fodder (Europe);Cannon Fodder (Euro);Genesis;;1994;;;1;;;;;;cfodder;Cannon Fodder;;;;;;
Canon - The Legend of the New Gods (World);Canon - The Legend of the New Gods (World);Genesis;;;;;1;;;;;;;Canon: The Legend of the New Gods;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);Genesis;captaven;1992;;;2;;;;;;captavenu;Captain America and the Avengers;;;;;;
Captain Planet and the Planeteers (Europe);Captain Planet and the Planeteers (Euro);Genesis;;1993;;;1;;;;;;captplan;Captain Planet and the Planeteers;;;;;;
Cascade (World) (Unl);Cascade (World) (Unl);Genesis;;;;;2;;;;;;;Cascade;;;;;;
Castle of Illusion Starring Mickey Mouse (USA, Europe);Castle of Illusion Starring Mickey Mouse (Euro, USA);Genesis;;1990;;;1;;;;;;castlill;Castle of Illusion Starring Mickey Mouse;;;;;;
Castlevania - Bloodlines (USA);Castlevania - Bloodlines (USA);Genesis;cvania;1994;;;1;;;;;;cvaniau;Castlevania: Bloodlines;;;;;;
Centurion - Defender of Rome (USA, Europe);Centurion - Defender of Rome (Euro, USA);Genesis;;1991;;;2;;;;;;centur;Centurion: Defender of Rome;;;;;;
Chakan (USA, Europe);Chakan - The Forever Man (Euro, USA);Genesis;;1992;;;1;;;;;;chakan;Chakan: The Forever Man;;;;;;
Champions World Class Soccer (World) (En,Fr,De,Es);Champions World Class Soccer (World);Genesis;;1994;;;2;;;;;;champwcs;チャンピオンズ ワールドクラスサッカー;;;;;;
Championship Bowling (USA);Championship Bowling (USA);Genesis;;1993;;;4;;;;;;champbwl;Championship Bowling;;;;;;
Championship Pool (USA);Championship Pool (USA);Genesis;;1993;;;2;;;;;;champool;Championship Pool;;;;;;
Championship Pro-Am (USA);Championship Pro-Am (USA);Genesis;;1992;;;;;;;;;cproam;Championship Pro-Am;;;;;;
Chao Ji Poker (Taiwan) (En) (Unl);Chaoji Puke (Tw);Genesis;;199?;<unlicensed>;;;;;;;;suppoker;超級撲克 ~ Super Poker;;;;;;
Chase H.Q. II (USA);Chase H.Q. II (USA);Genesis;;1992;;;1;;;;;;chasehq2;Chase H.Q. II;;;;;;
Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es);Cheese Cat-Astrophe Starring Speedy Gonzales (Euro);Genesis;;1995;;;1;;;;;;cheese;Cheese Cat-Astrophe Starring Speedy Gonzales;;;;;;
Chester Cheetah - Too Cool to Fool (USA);Chester Cheetah - Too Cool to Fool (USA);Genesis;;1993;;;1;;;;;;chester;Chester Cheetah: Too Cool to Fool;;;;;;
Chester Cheetah - Wild Wild Quest (USA);Chester Cheetah - Wild Wild Quest (USA);Genesis;;1994;;;1;;;;;;chesterw;Chester Cheetah: Wild Wild Quest;;;;;;
Chi Chi's Pro Challenge Golf (USA);Chi Chi's Pro Challenge Golf (USA);Genesis;;1993;;;;;;;;;chichi;Chi Chi's Pro Challenge Golf;;;;;;
Chiki Chiki Boys (USA, Europe);Chiki Chiki Boys (Euro, USA);Genesis;;1992;;;;;;;;;chiki;Chiki Chiki Boys;;;;;;
