#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
3-D Tic-Tac-Toe (USA);3-D Tic-Tac-Toe (USA);Atari2600;;;;;2;;;;;;;3D TicTacToe;;;;;;
32 in 1 Game Cartridge (Europe);32 in 1 Game Cartridge (Europe);Atari2600;;;;;;;;;;;;;;;;;;
Acid Drop (Europe);Acid Drop (Europe);Atari2600;;;;;1;;;;;;;Acid Drop;;;;;;
Activision Decathlon, The (USA);Activision Decathlon, The (USA);Atari2600;;;;;;;;;;;;;;;;;;
Adventure (USA);Adventure (USA);Atari2600;;;;;1;;;;;;;Adventure;;;;;;
Adventures of TRON (USA);Adventures of TRON (USA);Atari2600;;;;;1;;;;;;;Adventures of TRON;;;;;;
Air Raid (USA);Air Raid (USA);Atari2600;;;;;1;;;;;;;Air Raid;;;;;;
Air Raiders (USA);Air Raiders (USA);Atari2600;;;;;1;;;;;;;Air Raiders;;;;;;
Air-Sea Battle ~ Target Fun (Japan, USA);Air-Sea Battle ~ Target Fun (Japan, USA);Atari2600;;;;;;;;;;;;;;;;;;
Airlock (USA);Airlock (USA);Atari2600;;;;;2;;;;;;;Airlock;;;;;;
Alien (USA);Alien (USA);Atari2600;;;;;1;;;;;;;Alien;;;;;;
Alpha Beam with Ernie (Japan, USA);Alpha Beam with Ernie (Japan, USA);Atari2600;;;;;1;;;;;;;Alpha Beam With Ernie;;;;;;
Amidar (USA);Amidar (USA);Atari2600;;;;;1;;;;;;;Amidar;;;;;;
Armor Ambush (USA);Armor Ambush (USA);Atari2600;;;;;2;;;;;;;Armor Ambush;;;;;;
Artillery Duel (USA);Artillery Duel (USA);Atari2600;;;;;2;;;;;;;Artillery Duel;;;;;;
Assault (USA);Assault (USA);Atari2600;;;;;1;;;;;;;Assault;;;;;;
Asteroids (Japan, USA);Asteroids (Japan, USA);Atari2600;;;;;2;;;;;;;Asteroids;;;;;;
Astroblast (USA) (v1.1);Astroblast (USA) (v1.1);Atari2600;;;;;1;;;;;;;Astroblast;;;;;;
Astrowar (Brazil) (Unl);Astrowar (Brazil) (Unl);Atari2600;;;;;1;;;;;;;Astrowar;;;;;;
Atlantis (USA);Atlantis (USA);Atari2600;;;;;2;;;;;;;Atlantis;;;;;;
Atlantis II (USA);Atlantis II (USA);Atari2600;;;;;1;;;;;;;Atlantis II;;;;;;
BASIC Programming (USA);BASIC Programming (USA);Atari2600;;;;;;;;;;;;BASIC Programming;;;;;;
BMX Air Master (USA);BMX Air Master (USA);Atari2600;;;;;2;;;;;;;BMX Air Master;;;;;;
Bachelor Party (USA);Bachelor Party (USA);Atari2600;;;;;;;;;;;;Bachelor Party;;;;;;
Bachelorette Party (USA);Bachelorette Party (USA);Atari2600;;;;;1;;;;;;;Bachelorette Party;;;;;;
Backgammon (USA);Backgammon (USA);Atari2600;;;;;;;;;;;;Backgammon (Techno Soft);;;;;;
Bank Heist (USA);Bank Heist (USA);Atari2600;;;;;1;;;;;;;Bank Heist;;;;;;
Barnstorming (USA);Barnstorming (USA);Atari2600;;;;;1;;;;;;;Barnstorming;;;;;;
Base Attack (Europe);Base Attack (Europe);Atari2600;;;;;2;;;;;;;Base Attack;;;;;;
Basic Math (USA);Basic Math (USA);Atari2600;;;;;1;;;;;;;Basic Math (Math);;;;;;
Basketball (USA);Basketball (USA);Atari2600;;;;;2;;;;;;;Basketball;;;;;;
Battlezone (Japan, USA);Battlezone (Japan, USA);Atari2600;;;;;1;;;;;;;Battlezone;;;;;;
Beamrider (USA);Beamrider (USA);Atari2600;;;;;1;;;;;;;Beamrider;;;;;;
Beany Bopper (USA);Beany Bopper (USA);Atari2600;;;;;;;;;;;;Beany Bopper;;;;;;
Berenstain Bears (USA);Berenstain Bears (USA);Atari2600;;;;;1;;;;;;;Berenstain Bears;;;;;;
