#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Chopper Attack (USA);Chopper Attack (USA);N64;chopatck;1998;Midway;;;;;;;;chopatcku;;;;;;;
Clay Fighter - Sculptor's Cut (USA);Clay Fighter - Sculptor's Cut (USA);N64;;1998;Interplay;;;;;;;;clayfght;;;;;;;
Clay Fighter 63 1-3 (USA);Clay Fighter 63 1-3 (USA);N64;;;;;;;;;;;;;;;;;;
Command & Conquer (USA);Command & Conquer (USA);N64;cnc;1999;Nintendo;;;;;;;;cncu;;;;;;;
Conker's Bad Fur Day (USA);Conker's Bad Fur Day (USA);N64;conker;2001;Nintendo;;;;;;;;conkeru;;;;;;;
Cruis'n Exotica (USA);Cruis'n Exotica (USA);N64;;2000;Midway;;;;;;;;crusnexo;;;;;;;
Cruis'n USA (USA) (Rev 2);Cruis'n USA (Australia, Europe);N64;;1998;Nintendo;;;;;;;;crusnusa;;;;;;;
Cruis'n World (USA);Cruis'n World (USA);N64;crusnwld;1998;Nintendo;;;;;;;;crusnwldu;;;;;;;
CyberTiger (USA);CyberTiger (USA);N64;cybertgr;2000;Electronic Arts;;;;;;;;cybertgru;;;;;;;
Dark Rift (USA);Dark Rift (Australia, Europe);N64;;1997;Vic Tokai;;;;;;;;darkrift;;;;;;;
Deadly Arts (USA);Deadly Arts (USA);N64;gasp;1998;Konami;;;;;;;;deadly;;;;;;;
Destruction Derby 64 (USA);Destruction Derby 64 (USA);N64;dderby;1999;T*HQ;;;;;;;;dderbyu;;;;;;;
Diddy Kong Racing (USA) (En,Fr) (Rev 1);Diddy Kong Racing (Europe, rev 1);N64;;1997;Nintendo;;;;;;;;dkracing;;;;;;;
Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It);Donald Duck - Goin' Quackers (USA);N64;quackatk;2000;Ubi Soft;;;;;;;;goinquak;;;;;;;
Donkey Kong 64 (USA);Donkey Kong 64 (USA);N64;dk64;1999;Nintendo;;;;;;;;dk64u;;;;;;;
Doom 64 (USA) (Rev 1);Doom 64 (Europe);N64;;1997;GT Interactive;;;;;;;;doom64;;;;;;;
Dr. Mario 64 (USA);Dr. Mario 64 (USA);N64;;2001;Nintendo;;;;;;;;drmario;;;;;;;
Dual Heroes (USA);Dual Heroes (USA);N64;dualhero;1998;Electro Brain;;;;;;;;dualherou;;;;;;;
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es);Duck Dodgers Starring Daffy Duck (USA, final prototype);N64;duckdodg;2000;Infogrames;;;;;;;;duckdodgub;;;;;;;
Duke Nukem - Zero Hour (USA);Duke Nukem - Zero Hour (USA);N64;dukenkzh;1999;GT Interactive;;;;;;;;dukenkzhu;;;;;;;
Duke Nukem 64 (USA);Duke Nukem 64 (USA);N64;dukenk64;1997;GT Interactive;;;;;;;;dukenk64u;;;;;;;
ECW Hardcore Revolution (USA);ECW Hardcore Revolution (USA);N64;ecwhard;2000;Acclaim Entertainment;;;;;;;;ecwhardu;;;;;;;
Earthworm Jim 3D (USA);Earthworm Jim 3D (USA);N64;ejim3d;1999;Rockstar Games;;;;;;;;ejim3du;;;;;;;
Excitebike 64 (USA) (Rev 1);Excitebike 64 (Europe);N64;;2001;Nintendo;;;;;;;;excitbik;;;;;;;
Extreme-G (USA);Extreme-G (Europe);N64;;1997;Acclaim Entertainment;;;;;;;;extremeg;;;;;;;
Extreme-G XG2 (USA);Extreme-G XG2 (USA);N64;extremg2;1998;Acclaim Entertainment;;;;;;;;extremg2u;;;;;;;
F-1 World Grand Prix (USA);F-1 World Grand Prix (USA);N64;f1wgp;1998;Video System;;;;;;;;f1wgpu;;;;;;;
F-1 World Grand Prix II (Europe) (En,Fr,De,Es);F-1 World Grand Prix II (Europe);N64;;1999;Video System;;;;;;;;f1wgp2;;;;;;;
F-Zero X (USA);F-Zero X (Australia, Europe);N64;;1998;Nintendo;;;;;;;;fzerox;;;;;;;
F1 Pole Position 64 (USA) (En,Fr,De);F1 Pole Position 64 (Europe);N64;;1997;Ubi Soft;;;;;;;;f1polepo;;;;;;;
F1 Racing Championship (Europe) (En,Fr,De,Es,It);F1 Racing Championship (Europe);N64;;2000;Ubi Soft;;;;;;;;f1racing;;;;;;;
FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv);FIFA - Road to World Cup 98 (Europe);N64;;1997;Electronic Arts;;;;;;;;fifa98;;;;;;;
FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv);FIFA 99 (Europe);N64;;1999;Electronic Arts;;;;;;;;fifa99;;;;;;;
FIFA Soccer 64 (USA) (En,Fr,De);FIFA Soccer 64 (Europe);N64;;1997;Electronic Arts;;;;;;;;fifa;;;;;;;
Fighter Destiny 2 (USA);Fighter Destiny 2 (USA);N64;;2000;South Peak;;;;;;;;fightds2;;;;;;;
Fighters Destiny (USA);Fighters Destiny (USA);N64;fightdst;1998;Ocean;;;;;;;;fightdstu;;;;;;;
Fighting Force 64 (USA);Fighting Force 64 (USA);N64;fightfrc;1998;Crave Entertainment;;;;;;;;fightfrcu;;;;;;;
Flying Dragon (USA);Flying Dragon (USA);N64;flyindrg;1998;Natsume;;;;;;;;flyindrgu;;;;;;;
Forsaken 64 (USA);Forsaken 64 (USA);N64;forsaken;1998;Acclaim Entertainment;;;;;;;;forsakenu;;;;;;;
Fox Sports College Hoops '99 (USA);Fox Sports College Hoops '99 (USA);N64;;1998;Fox Interactive;;;;;;;;collegeh;;;;;;;
GT 64 - Championship Edition (USA);GT64 - Championship Edition (Europe);N64;;1998;Ocean;;;;;;;;gt64;;;;;;;
Gauntlet Legends (USA);Gauntlet Legends (USA);N64;gauntleg;1999;Midway;;;;;;;;gauntlegu;;;;;;;
Gex 3 - Deep Cover Gecko (USA);Gex 3 - Deep Cover Gecko (USA);N64;gex3;1999;Crave Entertainment;;;;;;;;gex3u;;;;;;;
Gex 64 - Enter the Gecko (USA);Gex 64 - Enter the Gecko (USA);N64;gex64;1998;Midway;;;;;;;;gex64u;;;;;;;
Glover (USA);Glover (Europe);N64;;1998;Hasbro Interactive;;;;;;;;glover;;;;;;;
Goemon's Great Adventure (USA);Goemon's Great Adventure (USA);N64;mystnin2;1999;Konami;;;;;;;;goemnadv;;;;;;;
GoldenEye 007 (USA);GoldenEye 007 (USA);N64;;;;;;;;;;;;;;;;;;
Harvest Moon 64 (USA);Harvest Moon 64 (USA);N64;;1999;Natsume;;;;;;;;harvmoon;;;;;;;
Hercules - The Legendary Journeys (USA);Hercules - The Legendary Journeys (USA);N64;hercules;2000;Titus;;;;;;;;herculesu;;;;;;;
Hexen (USA);Hexen (Europe);N64;;1997;GT Interactive;;;;;;;;hexen;;;;;;;
Hot Wheels - Turbo Racing (USA);Hot Wheels - Turbo Racing (USA);N64;hotwhltr;1999;Electronic Arts;;;;;;;;hotwhltru;;;;;;;
Hybrid Heaven (USA);Hybrid Heaven (USA);N64;hybridh;1999;Konami;;;;;;;;hybridhu;;;;;;;
Hydro Thunder (USA);Hydro Thunder (USA);N64;hydroth;2000;Midway;;;;;;;;hydrothu;;;;;;;
Iggy's Reckin' Balls (USA);Iggy's Reckin' Balls (USA);N64;iggyreck;1998;Acclaim Entertainment;;;;;;;;iggyrecku;;;;;;;
In-Fisherman - Bass Hunter 64 (USA);In-Fisherman - Bass Hunter 64 (USA);N64;basshunt;1999;Take Two Software;;;;;;;;basshuntu;;;;;;;
Indiana Jones and the Infernal Machine (USA);Indiana Jones and the Infernal Machine (USA);N64;;2000;LucasArts;;;;;;;;indyinfm;;;;;;;
Indy Racing 2000 (USA);Indy Racing 2000 (USA);N64;;2000;Infogrames;;;;;;;;indy2k;;;;;;;
International Superstar Soccer '98 (USA);International Superstar Soccer '98 (USA);N64;iss98;1998;Konami;;;;;;;;iss98u;;;;;;;
International Superstar Soccer 2000 (USA) (En,Es);International Superstar Soccer 2000 (Europe, English / German);N64;;2000;Konami;;;;;;;;iss2k;;;;;;;
International Superstar Soccer 64 (USA);International Superstar Soccer 64 (USA);N64;iss64;1997;Konami;;;;;;;;iss64u;;;;;;;
International Track & Field 2000 (USA);International Track & Field 2000 (USA);N64;itf;2000;Konami;;;;;;;;itfu;;;;;;;
Jeopardy! (USA);Jeopardy! (USA);N64;;1998;GameTek;;;;;;;;jeopardy;;;;;;;
Jeremy McGrath Supercross 2000 (USA);Jeremy McGrath Supercross 2000 (USA);N64;jmg2k;2000;Acclaim Entertainment;;;;;;;;jmg2ku;;;;;;;
Jet Force Gemini (USA);Jet Force Gemini (USA);N64;jetforce;1999;Nintendo;;;;;;;;jetforceu;;;;;;;
John Romero's Daikatana (USA);John Romero's Daikatana (USA);N64;daikatan;2000;Kemco;;;;;;;;daikatanu;;;;;;;
Ken Griffey Jr.'s Slugfest (USA);Ken Griffey Jr.'s Slugfest (USA);N64;;1999;Nintendo;;;;;;;;kengriff;;;;;;;
Killer Instinct Gold (USA) (Rev 2);Killer Instinct Gold (Australia, Europe);N64;;1997;Nintendo;;;;;;;;kigold;;;;;;;
Kirby 64 - The Crystal Shards (USA);Kirby 64 - The Crystal Shards (USA);N64;kirby64;2000;Nintendo;;;;;;;;kirby64u;;;;;;;
Knife Edge - Nose Gunner (USA);Knife Edge - Nose Gunner (USA);N64;knifeedg;1998;Kemco;;;;;;;;knifeedgu;;;;;;;
Knockout Kings 2000 (USA);Knockout Kings 2000 (USA);N64;koking2k;1999;Electronic Arts;;;;;;;;koking2ku;;;;;;;
Kobe Bryant in NBA Courtside (USA);Kobe Bryant in NBA Courtside (Australia, Europe);N64;;1998;Nintendo;;;;;;;;kobenba;;;;;;;
LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi);LEGO Racers (Europe);N64;;1999;LEGO Media;;;;;;;;legorace;;;;;;;
Legend of Zelda, The - Majora's Mask (USA);The Legend of Zelda - Majora's Mask (Europe, rev 1);N64;;2000;Nintendo;;;;;;;;zeldamaj;;;;;;;
Legend of Zelda, The - Ocarina of Time (USA) (Rev 2);The Legend of Zelda - Ocarina of Time (Europe, rev 1);N64;;1998;Nintendo;;;;;;;;zeldaoot;;;;;;;
Lode Runner 3-D (USA);Lode Runner 3-D (USA);N64;ldrun3d;1999;Infogrames;;;;;;;;ldrun3du;;;;;;;
MRC - Multi-Racing Championship (USA);MRC - Multi Racing Championship (Europe);N64;;1997;Ocean;;;;;;;;mrc;;;;;;;
Mace - The Dark Age (USA);Mace - The Dark Age (USA);N64;mace;1997;Midway;;;;;;;;maceu;;;;;;;
Madden Football 64 (USA);Madden Football 64 (USA);N64;madden64;1997;Electronic Arts;;;;;;;;madden64u;;;;;;;
Madden NFL 2000 (USA);Madden NFL 2000 (USA);N64;;1999;Electronic Arts;;;;;;;;madden2k;;;;;;;
Madden NFL 2001 (USA);Madden NFL 2001 (USA);N64;;2000;Electronic Arts;;;;;;;;maddn2k1;;;;;;;
Madden NFL 2002 (USA);Madden NFL 2002 (USA);N64;;2001;Electronic Arts;;;;;;;;maddn2k2;;;;;;;
Madden NFL 99 (USA);Madden NFL 99 (USA);N64;madden99;1999;Electronic Arts;;;;;;;;madden99u1;;;;;;;
Magical Tetris Challenge (USA);Magical Tetris Challenge (USA);N64;mtetrisc;1999;Capcom;;;;;;;;mtetriscu;;;;;;;
Major League Baseball featuring Ken Griffey Jr. (USA);Major League Baseball featuring Ken Griffey Jr. (USA);N64;majleag;1998;Nintendo;;;;;;;;majleagu;;;;;;;
Mario Golf (USA);Mario Golf (USA);N64;marioglf;1999;Nintendo;;;;;;;;marioglfu;;;;;;;
Mario Kart 64 (USA);Mario Kart 64 (Europe, rev 1);N64;;1997;Nintendo;;;;;;;;mariokrt;;;;;;;
Mario Party (USA);Mario Party (USA);N64;mariopar;1999;Nintendo;;;;;;;;marioparu;;;;;;;
Mario Party 2 (USA);Mario Party 2 (USA);N64;mariopr2;2000;Nintendo;;;;;;;;mariopr2u;;;;;;;
Mario Party 3 (USA);Mario Party 3 (USA);N64;mariopr3;2001;Nintendo;;;;;;;;mariopr3u;;;;;;;
Mario Tennis (USA);Mario Tennis (USA);N64;marioten;2000;Nintendo;;;;;;;;mariotenu;;;;;;;
Mega Man 64 (USA);Mega Man 64 (USA);N64;;2000;Capcom;;;;;;;;megaman;;;;;;;
Mia Hamm Soccer 64 (USA) (En,Es);Mia Hamm Soccer 64 (USA);N64;mikeowen;2000;South Peak;;;;;;;;miahamm;;;;;;;
Mickey's Speedway USA (USA);Mickey's Speedway USA (USA);N64;micksped;2000;Nintendo;;;;;;;;mickspedu;;;;;;;
Micro Machines 64 Turbo (USA);Micro Machines 64 Turbo (USA);N64;micromac;1999;Midway;;;;;;;;micromacu;;;;;;;
Midway's Greatest Arcade Hits - Volume 1 (USA);Midway's Greatest Arcade Hits - Volume 1 (USA);N64;;;;;;;;;;;;;;;;;;
Mike Piazza's Strike Zone (USA);Mike Piazza's StrikeZone (USA);N64;;1998;GT Interactive;;;;;;;;mikepiaz;;;;;;;
Milo's Astro Lanes (USA);Milo's Astro Lanes (USA);N64;miloastr;1998;Crave Entertainment;;;;;;;;miloastru;;;;;;;
Mischief Makers (USA) (Rev 1);Mischief Makers (Europe);N64;;1997;Nintendo;;;;;;;;mischief;;;;;;;
Mission - Impossible (USA);Mission: Impossible (Europe);N64;;1998;Infogrames;;;;;;;;missimp;;;;;;;
Monaco Grand Prix (USA);Monaco Grand Prix (USA);N64;monacogp;1999;Ubi Soft;;;;;;;;monacogpu;;;;;;;
Monopoly (USA);Monopoly (USA);N64;;1999;Hasbro Interactive;;;;;;;;monopoly;;;;;;;
Monster Truck Madness 64 (USA);Monster Truck Madness 64 (USA);N64;monstrck;1999;Rockstar Games;;;;;;;;monstrcku;;;;;;;
Mortal Kombat 4 (USA);Mortal Kombat 4 (USA);N64;mk4;1998;Midway;;;;;;;;mk4u;;;;;;;
Mortal Kombat Mythologies - Sub-Zero (USA);Mortal Kombat Mythologies - Sub-Zero (USA);N64;mkmyth;1997;Midway;;;;;;;;mkmythu;;;;;;;
Mortal Kombat Trilogy (USA) (Rev 2);Mortal Kombat Trilogy (Europe);N64;;1997;Midway;;;;;;;;mktrilgy;;;;;;;
Ms. Pac-Man - Maze Madness (USA);Ms. Pac-Man - Maze Madness (USA);N64;;2000;Namco;;;;;;;;mspacman;;;;;;;
Mystical Ninja Starring Goemon (USA);Mystical Ninja Starring Goemon (USA);N64;mystninj;1998;Konami;;;;;;;;mystninju;;;;;;;
NASCAR 2000 (USA);NASCAR 2000 (USA);N64;;1999;Electronic Arts;;;;;;;;nascar2k;;;;;;;
NASCAR 99 (USA);NASCAR 99 (Europe);N64;;1998;Electronic Arts;;;;;;;;nascar99;;;;;;;
NBA Courtside 2 featuring Kobe Bryant (USA);NBA Courtside 2 featuring Kobe Bryant (USA);N64;;1999;Nintendo;;;;;;;;nbacour2;;;;;;;
NBA Hangtime (USA);NBA Hangtime (Europe);N64;;1997;Midway;;;;;;;;nbahang;;;;;;;
NBA Jam 2000 (USA);NBA Jam 2000 (USA);N64;nbajam2k;1999;Acclaim Entertainment;;;;;;;;nbajam2ku;;;;;;;
NBA Jam 99 (USA);NBA Jam 99 (Europe);N64;;1998;Acclaim Entertainment;;;;;;;;nbajam99;;;;;;;
NBA Live 2000 (USA) (En,Fr,De,Es);NBA Live 2000 (Europe);N64;;1999;Electronic Arts;;;;;;;;nbaliv2k;;;;;;;
NBA Live 99 (USA) (En,Fr,De,Es,It);NBA Live 99 (Europe);N64;;1998;Electronic Arts;;;;;;;;nbaliv99;;;;;;;
NBA Showtime - NBA on NBC (USA);NBA Showtime - NBA on NBC (USA);N64;;1999;Midway;;;;;;;;nbashowt;;;;;;;
NBA in the Zone '98 (USA);NBA in the Zone '98 (USA);N64;nbapro98;1998;Konami;;;;;;;;nbazon98;;;;;;;
NBA in the Zone '99 (USA);NBA in the Zone '99 (USA);N64;nbapro99;1999;Konami;;;;;;;;nbazon99;;;;;;;
NBA in the Zone 2000 (USA);NBA in the Zone 2000 (USA);N64;nbazon2k;2000;Konami;;;;;;;;nbazon2ku;;;;;;;
NFL Blitz (USA);NFL Blitz (USA);N64;;1998;Midway;;;;;;;;blitz;;;;;;;
NFL Blitz - Special Edition (USA);NFL Blitz - Special Edition (USA);N64;;2001;Midway;;;;;;;;blitzsp;;;;;;;
NFL Blitz 2000 (USA) (Rev 1);NFL Blitz 2000 (USA, rev 1);N64;;1999;Midway;;;;;;;;blitz2k;;;;;;;
NFL Blitz 2001 (USA);NFL Blitz 2001 (USA);N64;;2000;Midway;;;;;;;;blitz2k1;;;;;;;
NFL QB Club 2001 (USA);NFL QB Club 2001 (USA);N64;;;;;;;;;;;;;;;;;;
NFL Quarterback Club 2000 (USA);NFL Quarterback Club 2000 (USA);N64;nflqb2k;1999;Acclaim Entertainment;;;;;;;;nflqb2ku;;;;;;;
NFL Quarterback Club 98 (USA);NFL Quarterback Club 98 (USA);N64;nflqb98;1997;Acclaim Entertainment;;;;;;;;nflqb98u;;;;;;;
NFL Quarterback Club 99 (USA);NFL Quarterback Club 99 (USA);N64;nflqb99;1998;Acclaim Entertainment;;;;;;;;nflqb99u;;;;;;;
NHL 99 (USA);NHL 99 (Europe);N64;;1998;Electronic Arts;;;;;;;;nhl99;;;;;;;
NHL Blades of Steel '99 (USA);NHL Blades of Steel '99 (USA);N64;nhlpro99;1999;Konami;;;;;;;;bladestl;;;;;;;
NHL Breakaway 98 (USA);NHL Breakaway 98 (USA);N64;nhlbrk98;1998;Acclaim Entertainment;;;;;;;;nhlbrk98u;;;;;;;
NHL Breakaway 99 (USA);NHL Breakaway 99 (USA);N64;nhlbrk99;1998;Acclaim Entertainment;;;;;;;;nhlbrk99u;;;;;;;
Nagano Winter Olympics '98 (USA);Nagano Winter Olympics '98 (USA);N64;nagano;1998;Konami;;;;;;;;naganou;;;;;;;
Namco Museum 64 (USA);Namco Museum 64 (USA);N64;;1999;Namco;;;;;;;;namcomus;;;;;;;
New Tetris, The (USA);The New Tetris (Europe);N64;;1999;Nintendo;;;;;;;;ntetris;;;;;;;
Nightmare Creatures (USA);Nightmare Creatures (USA);N64;;1998;Activision;;;;;;;;nightcr;;;;;;;
Nuclear Strike 64 (USA);Nuclear Strike 64 (USA);N64;nstrike;1999;T*HQ;;;;;;;;nstrikeu;;;;;;;
Off Road Challenge (USA);Off Road Challenge (USA);N64;offroadc;1998;Midway;;;;;;;;offroadcu;;;;;;;
Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev 1);Ogre Battle 64 - Person of Lordly Caliber (Japan, rev 1);N64;ogrebatl;1999;Nintendo;;;;;;;;ogrebatlj;オウガバトル 64;;;;;;
