#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Activision Decathlon, The (USA);Activision Decathlon, The (USA);Atari5200;;;;;;;;;;;;;;;;;;
Astro Chase (USA);Astro Chase (USA);Atari5200;;;;;;;;;;;;;;;;;;
Atari PAM - Pete's Test (USA);Atari PAM - Pete's Test (USA);Atari5200;;;;;;;;;;;;;;;;;;
Atari PAM Diagnostics (USA) (v2.3);Atari PAM Diagnostics (USA) (v2.3);Atari5200;;;;;;;;;;;;;;;;;;
Atari PAM System Test (USA) (v1.02);Atari PAM System Test (USA) (v1.02);Atari5200;;;;;;;;;;;;;;;;;;
Ballblazer (USA);Ballblazer (USA);Atari5200;;;;;;;;;;;;;;;;;;
Beamrider (USA);Beamrider (USA);Atari5200;;;;;;;;;;;;;;;;;;
BerZerk (USA);BerZerk (USA);Atari5200;;;;;;;;;;;;;;;;;;
Blue Print (USA);Blue Print (USA);Atari5200;;;;;;;;;;;;;;;;;;
Bounty Bob Strikes Back! (USA);Bounty Bob Strikes Back! (USA);Atari5200;;;;;;;;;;;;;;;;;;
Buck Rogers - Planet of Zoom (USA);Buck Rogers - Planet of Zoom (USA);Atari5200;;;;;;;;;;;;;;;;;;
Carol Shaw's River Raid (USA);Carol Shaw's River Raid (USA);Atari5200;;;;;;;;;;;;;;;;;;
Castle Blast (USA) (Unl);Castle Blast (USA) (Unl);Atari5200;;;;;;;;;;;;;;;;;;
Castle Crisis (USA) (Unl);Castle Crisis (USA) (Unl);Atari5200;;;;;;;;;;;;;;;;;;
Centipede (USA);Centipede (USA);Atari5200;;;;;;;;;;;;;;;;;;
Choplifter! (USA);Choplifter! (USA);Atari5200;;;;;;;;;;;;;;;;;;
Congo Bongo (USA);Congo Bongo (USA);Atari5200;;;;;;;;;;;;;;;;;;
Countermeasure (USA);Countermeasure (USA);Atari5200;;;;;;;;;;;;;;;;;;
