#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs (USA);SuperNES;;;;;;;;;;;;;;;;;;
Battletoads-Double Dragon (USA);Battletoads-Double Dragon (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bazooka Blitzkrieg (USA);Bazooka Blitzkrieg (USA);SuperNES;;;;;;;;;;;;;;;;;;
Beauty and the Beast (USA);Beauty and the Beast (USA);SuperNES;;;;;;;;;;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bebe's Kids (USA);Bebe's Kids (USA);SuperNES;;;;;;;;;;;;;;;;;;
Beethoven - The Ultimate Canine Caper! (USA);Beethoven - The Ultimate Canine Caper! (USA);SuperNES;;;;;;;;;;;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);SuperNES;;;;;;;;;;;;;;;;;;
Big Sky Trooper (USA);Big Sky Trooper (USA);SuperNES;;;;;;;;;;;;;;;;;;
Biker Mice from Mars (USA);Biker Mice from Mars (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bill Laimbeer's Combat Basketball (USA);Bill Laimbeer's Combat Basketball (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bill Walsh College Football (USA);Bill Walsh College Football (USA);SuperNES;;;;;;;;;;;;;;;;;;
BioMetal (USA);BioMetal (USA);SuperNES;;;;;;;;;;;;;;;;;;
BlaZeon - The Bio-Cyborg Challenge (USA);BlaZeon - The Bio-Cyborg Challenge (USA);SuperNES;;;;;;;;;;;;;;;;;;
Blackthorne (USA);Blackthorne (USA);SuperNES;;;;;;;;;;;;;;;;;;
Blues Brothers, The (USA);Blues Brothers, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bonkers (USA);Bonkers (USA);SuperNES;;;;;;;;;;;;;;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman - A Pick and Flick Adventure (USA);SuperNES;;;;;;;;;;;;;;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring (USA);SuperNES;;;;;;;;;;;;;;;;;;
Brain Lord (USA);Brain Lord (USA);SuperNES;;;;;;;;;;;;;;;;;;
Brainies, The (USA);Brainies, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);SuperNES;;;;;;;;;;;;;;;;;;
Brandish (USA);Brandish (USA);SuperNES;;;;;;;;;;;;;;;;;;
Brawl Brothers (USA);Brawl Brothers (USA);SuperNES;;;;;;;;;;;;;;;;;;
BreakThru! (USA);BreakThru! (USA);SuperNES;;;;;;;;;;;;;;;;;;
Breath of Fire (USA);Breath of Fire (USA);SuperNES;;;;;;;;;;;;;;;;;;
Breath of Fire II (USA);Breath of Fire II (USA);SuperNES;;;;;;;;;;;;;;;;;;
Brett Hull Hockey (USA);Brett Hull Hockey (USA);SuperNES;;;;;;;;;;;;;;;;;;
Brett Hull Hockey 95 (USA);Brett Hull Hockey 95 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bronkie the Bronchiasaurus (USA) (En,Es);Bronkie the Bronchiasaurus (USA) (En,Es);SuperNES;;;;;;;;;;;;;;;;;;
Brunswick World Tournament of Champions (USA);Brunswick World Tournament of Champions (USA);SuperNES;;;;;;;;;;;;;;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bubsy II (USA);Bubsy II (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bubsy in - Claws Encounters of the Furred Kind (USA);Bubsy in - Claws Encounters of the Furred Kind (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bugs Bunny - Rabbit Rampage (USA);Bugs Bunny - Rabbit Rampage (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bulls vs Blazers and the NBA Playoffs (USA) (Rev 1);Bulls vs Blazers and the NBA Playoffs (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Bust-A-Move (USA);Bust-A-Move (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cacoma Knight in Bizyland (USA);Cacoma Knight in Bizyland (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball (USA);SuperNES;;;;;;;;;;;;;;;;;;
California Games II (USA);California Games II (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cannon Fodder (Europe);Cannon Fodder (Europe);SuperNES;;;;;;;;;;;;;;;;;;
Capcom's MVP Football (USA);Capcom's MVP Football (USA);SuperNES;;;;;;;;;;;;;;;;;;
Capcom's Soccer Shootout (USA);Capcom's Soccer Shootout (USA);SuperNES;;;;;;;;;;;;;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);SuperNES;;;;;;;;;;;;;;;;;;
Captain Commando (USA);Captain Commando (USA);SuperNES;;;;;;;;;;;;;;;;;;
Captain Novolin (USA) (En,Fr,Es);Captain Novolin (USA) (En,Fr,Es);SuperNES;;;;;;;;;;;;;;;;;;
Caravan Shooting Collection (Japan) (En);Caravan Shooting Collection (Japan) (En);SuperNES;;;;;;;;;;;;;;;;;;
Carrier Aces (USA);Carrier Aces (USA);SuperNES;;;;;;;;;;;;;;;;;;
Casper (USA);Casper (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cassette Kensaki - NUS-you S Cassette (Japan) (En);Cassette Kensaki - NUS-you S Cassette (Japan) (En);SuperNES;;;;;;;;;;;;;;;;;;
Castlevania - Dracula X (USA);Castlevania - Dracula X (USA);SuperNES;;;;;;;;;;;;;;;;;;
Champions - World Class Soccer (USA) (En,Fr,De,Es);Champions - World Class Soccer (USA) (En,Fr,De,Es);SuperNES;;;;;;;;;;;;;;;;;;
Championship Pool (USA);Championship Pool (USA);SuperNES;;;;;;;;;;;;;;;;;;
Championship Soccer '94 (USA) (En,Fr,De,It);Championship Soccer '94 (USA) (En,Fr,De,It);SuperNES;;;;;;;;;;;;;;;;;;
Chessmaster, The (USA);Chessmaster, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Chester Cheetah - Too Cool to Fool (USA);Chester Cheetah - Too Cool to Fool (USA);SuperNES;;;;;;;;;;;;;;;;;;
Chester Cheetah - Wild Wild Quest (USA);Chester Cheetah - Wild Wild Quest (USA);SuperNES;;;;;;;;;;;;;;;;;;
Choplifter III - Rescue-Survive (USA);Choplifter III - Rescue-Survive (USA);SuperNES;;;;;;;;;;;;;;;;;;
Choujikuu Yousai Macross - Scrambled Valkyrie (Japan) (En);Choujikuu Yousai Macross - Scrambled Valkyrie (Japan) (En);SuperNES;;;;;;;;;;;;;;;;;;
Chrono Trigger (USA);Chrono Trigger (USA);SuperNES;;;;;;;;;;;;;;;;;;
Chuck Rock (USA);Chuck Rock (USA);SuperNES;;;;;;;;;;;;;;;;;;
Clay Fighter (USA);Clay Fighter (USA);SuperNES;;;;;;;;;;;;;;;;;;
Clay Fighter - Tournament Edition (USA);Clay Fighter - Tournament Edition (USA);SuperNES;;;;;;;;;;;;;;;;;;
Clay Fighter 2 - Judgment Clay (USA);Clay Fighter 2 - Judgment Clay (USA);SuperNES;;;;;;;;;;;;;;;;;;
Claymates (USA);Claymates (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cliffhanger (USA);Cliffhanger (USA);SuperNES;;;;;;;;;;;;;;;;;;
Clue (USA);Clue (USA);SuperNES;;;;;;;;;;;;;;;;;;
College Football USA 97 (USA);College Football USA 97 (USA);SuperNES;;;;;;;;;;;;;;;;;;
College Slam (USA);College Slam (USA);SuperNES;;;;;;;;;;;;;;;;;;
Combatribes, The (USA);Combatribes, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Congo's Caper (USA);Congo's Caper (USA);SuperNES;;;;;;;;;;;;;;;;;;
Contra III - The Alien Wars (USA);Contra III - The Alien Wars (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cool Spot (USA);Cool Spot (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cool World (USA);Cool World (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cutthroat Island (USA);Cutthroat Island (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cyber Spin (USA);Cyber Spin (USA);SuperNES;;;;;;;;;;;;;;;;;;
Cybernator (USA);Cybernator (USA);SuperNES;;;;;;;;;;;;;;;;;;
D-Force (USA);D-Force (USA);SuperNES;;;;;;;;;;;;;;;;;;
Daffy Duck - The Marvin Missions (USA);Daffy Duck - The Marvin Missions (USA);SuperNES;;;;;;;;;;;;;;;;;;
Darius Twin (USA);Darius Twin (USA);SuperNES;;;;;;;;;;;;;;;;;;
David Crane's Amazing Tennis (USA);David Crane's Amazing Tennis (USA);SuperNES;;;;;;;;;;;;;;;;;;
Daze Before Christmas (Europe);Daze Before Christmas (Europe);SuperNES;;;;;;;;;;;;;;;;;;
Death and Return of Superman, The (USA) (Rev 1);Death and Return of Superman, The (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Demolition Man (USA);Demolition Man (USA);SuperNES;;;;;;;;;;;;;;;;;;
Demon's Crest (USA);Demon's Crest (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dennis the Menace (USA);Dennis the Menace (USA);SuperNES;;;;;;;;;;;;;;;;;;
Desert Strike - Return to the Gulf (USA);Desert Strike - Return to the Gulf (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dig & Spike Volleyball (USA);Dig & Spike Volleyball (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dino Dini's Soccer! (Europe) (En,Fr,De);Dino Dini's Soccer! (Europe) (En,Fr,De);SuperNES;;;;;;;;;;;;;;;;;;
DinoCity (USA);DinoCity (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dirt Racer (Europe) (En,Fr,De);Dirt Racer (Europe) (En,Fr,De);SuperNES;;;;;;;;;;;;;;;;;;
Dirt Trax FX (USA);Dirt Trax FX (USA);SuperNES;;;;;;;;;;;;;;;;;;
Donkey Kong Country (USA) (Rev 2);Donkey Kong Country (USA) (Rev 2);SuperNES;;;;;;;;;;;;;;;;;;
Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr) (Rev 1);Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr);Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr);SuperNES;;;;;;;;;;;;;;;;;;
Doom (USA);Doom (USA);SuperNES;;;;;;;;;;;;;;;;;;
Doom Troopers - Mutant Chronicles (USA);Doom Troopers - Mutant Chronicles (USA);SuperNES;;;;;;;;;;;;;;;;;;
Doomsday Warrior (USA);Doomsday Warrior (USA);SuperNES;;;;;;;;;;;;;;;;;;
Double Dragon V - The Shadow Falls (USA);Double Dragon V - The Shadow Falls (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dr. Mario (Japan) (En) (NP);Dr. Mario (Japan) (En) (NP);SuperNES;;;;;;;;;;;;;;;;;;
Dragon - The Bruce Lee Story (USA);Dragon - The Bruce Lee Story (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dragon View (USA);Dragon View (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dragon's Lair (USA);Dragon's Lair (USA);SuperNES;;;;;;;;;;;;;;;;;;
Drakkhen (USA);Drakkhen (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dream T.V. (USA);Dream T.V. (USA);SuperNES;;;;;;;;;;;;;;;;;;
Duel, The - Test Drive II (USA);Duel, The - Test Drive II (USA);SuperNES;;;;;;;;;;;;;;;;;;
Dungeon Master (USA);Dungeon Master (USA);SuperNES;;;;;;;;;;;;;;;;;;
E.V.O. - Search for Eden (USA);E.V.O. - Search for Eden (USA);SuperNES;;;;;;;;;;;;;;;;;;
ESPN Baseball Tonight (USA);ESPN Baseball Tonight (USA);SuperNES;;;;;;;;;;;;;;;;;;
ESPN National Hockey Night (USA);ESPN National Hockey Night (USA);SuperNES;;;;;;;;;;;;;;;;;;
ESPN Speedworld (USA);ESPN Speedworld (USA);SuperNES;;;;;;;;;;;;;;;;;;
ESPN Sunday Night NFL (USA);ESPN Sunday Night NFL (USA);SuperNES;;;;;;;;;;;;;;;;;;
Earth Defense Force (USA);Earth Defense Force (USA);SuperNES;;;;;;;;;;;;;;;;;;
EarthBound (USA);EarthBound (USA);SuperNES;;;;;;;;;;;;;;;;;;
Earthworm Jim (USA);Earthworm Jim (USA);SuperNES;;;;;;;;;;;;;;;;;;
Earthworm Jim 2 (USA);Earthworm Jim 2 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Eek! The Cat (USA);Eek! The Cat (USA);SuperNES;;;;;;;;;;;;;;;;;;
Elite Soccer (USA);Elite Soccer (USA);SuperNES;;;;;;;;;;;;;;;;;;
Emmitt Smith Football (USA);Emmitt Smith Football (USA);SuperNES;;;;;;;;;;;;;;;;;;
Equinox (USA);Equinox (USA);SuperNES;;;;;;;;;;;;;;;;;;
Exertainment Mountain Bike Rally (USA);Exertainment Mountain Bike Rally (USA);SuperNES;;;;;;;;;;;;;;;;;;
Exertainment Mountain Bike Rally + Speed Racer (USA);Exertainment Mountain Bike Rally + Speed Racer (USA);SuperNES;;;;;;;;;;;;;;;;;;
Extra Innings (USA);Extra Innings (USA);SuperNES;;;;;;;;;;;;;;;;;;
