#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Bonkers Wax Up! (Brazil);Bonkers Wax Up! (Brazil);MasterSystem;;;;;;;;;;;;Bonkers Wax Up;;;;;;
Bram Stoker's Dracula (Europe);Bram Stoker's Dracula (Europe);MasterSystem;;;;;1;;;;;;;Bram Stoker's Dracula;;;;;;
Bubble Bobble ~ Dragon Maze (Europe, Brazil);Bubble Bobble ~ Dragon Maze (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Buggy Run (Europe, Brazil);Buggy Run (Europe, Brazil);MasterSystem;;;;;;;;;;;;Buggy Run;;;;;;
California Games II (Europe);California Games II (Europe);MasterSystem;;;;;2;;;;;;;California Games II;;;;;;
California Games ~ Jogos de Verao (USA, Europe, Brazil);California Games ~ Jogos de Verao (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Captain Silver (USA);Captain Silver (USA);MasterSystem;;;;;;;;;;;;Captain Silver;;;;;;
Casino Games (USA, Europe);Casino Games (USA, Europe);MasterSystem;;;;;;;;;;;;Casino Games;;;;;;
Castelo Ra-Tim-Bum (Brazil);Castelo Ra-Tim-Bum (Brazil);MasterSystem;;;;;1;;;;;;;Castelo Ra-Tim-Bum;;;;;;
Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (Rev 1);Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (Rev 1);MasterSystem;;;;;1;;;;;;;Castle of Illusion Starring Mickey Mouse;;;;;;
Champions of Europe (Europe);Champions of Europe (Europe);MasterSystem;;;;;2;;;;;;;Champions of Europe;;;;;;
Championship Hockey (Europe);Championship Hockey (Europe);MasterSystem;;;;;1;;;;;;;Championship Hockey;;;;;;
Chapolim x Dracula - Um Duelo Assustador (Brazil);Chapolim x Dracula - Um Duelo Assustador (Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Cheese Cat-astrophe Starring Speedy Gonzales (Europe, Brazil) (En,Fr,De,Es);Cheese Cat-astrophe Starring Speedy Gonzales (Europe, Brazil) (En,Fr,De,Es);MasterSystem;;;;;1;;;;;;;Cheese Cat-Astrophe Starring Speedy Gonzales;;;;;;
Choplifter (USA, Europe, Brazil);Choplifter (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Choplifter;;;;;;
Chuck Rock (Europe, Brazil);Chuck Rock (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Chuck Rock;;;;;;
Chuck Rock II - Son of Chuck (Europe);Chuck Rock II - Son of Chuck (Europe);MasterSystem;;;;;1;;;;;;;Chuck Rock II: Son of Chuck;;;;;;
Cloud Master (USA, Europe, Brazil);Cloud Master (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Cloud Master;;;;;;
Columns ~ Shapes and Columns (USA, Europe, Brazil);Columns ~ Shapes and Columns (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Cool Spot (Europe);Cool Spot (Europe);MasterSystem;;;;;1;;;;;;;Cool Spot;;;;;;
